Proceso,Agno,COMA
Hidro_Pasada_VI,2022,55.62468595664568
Hidro_Pasada_VII,2022,55.62468595664568
Hidro_Pasada_VIII,2022,55.62468595664568
Hidro_Pasada_X-XIV,2022,55.62468595664568
Solar_FV_SING,2022,19.13534833599153
Solar_FV_II-III,2022,19.13534833599153
Solar_FV_IV,2022,19.13534833599153
Solar_FV_V,2022,19.13534833599153
Solar_FV_XIII,2022,19.13534833599153
Solar_FV_VI,2022,19.13534833599153
Carbon_SING,2023,65.04533282492375
Carbon_II-III,2023,65.04533282492375
GNL_CC_SING,2023,32.05822235445151
GNL_CC_II-III,2023,32.05822235445151
GNL_CC_VIII,2023,32.05822235445151
GNL_CA_SING,2023,32.05822235445151
GNL_CA_II-III,2023,32.05822235445151
GNL_CA_VIII,2023,32.05822235445151
Diesel_SING,2023,22.5
Diesel_IV,2023,22.5
Diesel_X-XIV,2023,22.5
Biomasa_VII,2023,125.80869979729655
Biomasa_VIII,2023,125.80869979729655
Biomasa_X-XIV,2023,125.80869979729655
Geotermica_SING,2023,186.53791123201557
Geotermica_VI,2023,186.53791123201557
Geotermica_VII,2023,186.53791123201557
Geotermica_VIII,2023,186.53791123201557
Solar_CSP_SING,2023,30.0
Solar_CSP_II-III,2023,30.0
Eolica_SING,2023,31.768418622085743
Eolica_II-III,2023,31.768418622085743
Eolica_IV,2023,31.768418622085743
Eolica_V,2023,31.768418622085743
Eolica_VI,2023,31.768418622085743
Eolica_VIII,2023,31.768418622085743
Eolica_X-XIV,2023,31.768418622085743
Hidro_Pasada_XIII,2023,55.77907622656581
Hidro_Pasada_VI,2023,55.77907622656581
Hidro_Pasada_VII,2023,55.77907622656581
Hidro_Pasada_VIII,2023,55.77907622656581
Hidro_Pasada_X-XIV,2023,55.77907622656581
Solar_FV_SING,2023,18.735057299292343
Solar_FV_II-III,2023,18.735057299292343
Solar_FV_IV,2023,18.735057299292343
Solar_FV_V,2023,18.735057299292343
Solar_FV_XIII,2023,18.735057299292343
Solar_FV_VI,2023,18.735057299292343
Carbon_SING,2024,65.19215428489042
Carbon_II-III,2024,65.19215428489042
GNL_CC_SING,2024,32.38207299122911
GNL_CC_II-III,2024,32.38207299122911
GNL_CC_VIII,2024,32.38207299122911
GNL_CA_SING,2024,32.38207299122911
GNL_CA_II-III,2024,32.38207299122911
GNL_CA_VIII,2024,32.38207299122911
Diesel_SING,2024,22.5
Diesel_IV,2024,22.5
Diesel_X-XIV,2024,22.5
Biomasa_VII,2024,125.42865192457019
Biomasa_VIII,2024,125.42865192457019
Biomasa_X-XIV,2024,125.42865192457019
Geotermica_SING,2024,183.44084241741763
Geotermica_VI,2024,183.44084241741763
Geotermica_VII,2024,183.44084241741763
Geotermica_VIII,2024,183.44084241741763
Solar_CSP_SING,2024,30.0
Solar_CSP_II-III,2024,30.0
Eolica_SING,2024,31.38705322053987
Eolica_II-III,2024,31.38705322053987
Eolica_IV,2024,31.38705322053987
Eolica_V,2024,31.38705322053987
Eolica_VI,2024,31.38705322053987
Eolica_VIII,2024,31.38705322053987
Eolica_X-XIV,2024,31.38705322053987
Hidro_Pasada_XIII,2024,55.93346649648595
Hidro_Pasada_VI,2024,55.93346649648595
Hidro_Pasada_VII,2024,55.93346649648595
Hidro_Pasada_VIII,2024,55.93346649648595
Hidro_Pasada_X-XIV,2024,55.93346649648595
Solar_FV_SING,2024,18.334766262593156
Solar_FV_II-III,2024,18.334766262593156
Solar_FV_IV,2024,18.334766262593156
Solar_FV_V,2024,18.334766262593156
Solar_FV_XIII,2024,18.334766262593156
Solar_FV_VI,2024,18.334766262593156
Carbon_SING,2025,65.3389757448571
Carbon_II-III,2025,65.3389757448571
GNL_CC_SING,2025,32.70592362800671
GNL_CC_II-III,2025,32.70592362800671
GNL_CC_VIII,2025,32.70592362800671
GNL_CA_SING,2025,32.70592362800671
GNL_CA_II-III,2025,32.70592362800671
GNL_CA_VIII,2025,32.70592362800671
Diesel_SING,2025,22.5
Diesel_IV,2025,22.5
Diesel_X-XIV,2025,22.5
Biomasa_VII,2025,125.04860405184382
Biomasa_VIII,2025,125.04860405184382
Biomasa_X-XIV,2025,125.04860405184382
Geotermica_SING,2025,180.34377360281962
Geotermica_VI,2025,180.34377360281962
Geotermica_VII,2025,180.34377360281962
Geotermica_VIII,2025,180.34377360281962
Solar_CSP_SING,2025,30.0
Solar_CSP_II-III,2025,30.0
Eolica_SING,2025,31.213105597086123
Eolica_II-III,2025,31.213105597086123
Eolica_IV,2025,31.213105597086123
Eolica_V,2025,31.213105597086123
Eolica_VI,2025,31.213105597086123
Eolica_VIII,2025,31.213105597086123
Eolica_X-XIV,2025,31.213105597086123
Hidro_Pasada_XIII,2025,56.087856766406084
Hidro_Pasada_VI,2025,56.087856766406084
Hidro_Pasada_VII,2025,56.087856766406084
Hidro_Pasada_VIII,2025,56.087856766406084
Hidro_Pasada_X-XIV,2025,56.087856766406084
Solar_FV_SING,2025,17.93447522589397
Solar_FV_II-III,2025,17.93447522589397
Solar_FV_IV,2025,17.93447522589397
Solar_FV_V,2025,17.93447522589397
Solar_FV_XIII,2025,17.93447522589397
Solar_FV_VI,2025,17.93447522589397
Carbon_SING,2026,65.47739755511294
