Proceso,Agno,Cinversion
Geotermica_SING,2025,6265.462696226117
Geotermica_SING,2026,6213.998444926894
Geotermica_SING,2027,6199.257258630121
Geotermica_SING,2028,6184.613364162905
Geotermica_SING,2029,6170.066119399175
Geotermica_SING,2030,6155.614886450882
Geotermica_SING,2031,6141.259031640051
Geotermica_SING,2032,6126.997925470971
Geotermica_SING,2033,6112.830942602605
Geotermica_SING,2034,6098.75746182117
Geotermica_SING,2035,6084.776866012895
Geotermica_SING,2036,6070.888542136954
Geotermica_SING,2037,6057.091881198594
Geotermica_SING,2038,6043.386278222425
Geotermica_SING,2039,6029.771132225901
Geotermica_SING,2040,6016.245846192954
Geotermica_SING,2041,6002.809827047823
Geotermica_SING,2042,5989.462485629051
Geotermica_SING,2043,5976.203236663644
Geotermica_SING,2044,5963.031498741407
Geotermica_SING,2045,5949.946694289458
Geotermica_SING,2046,5936.948249546891
Geotermica_SING,2047,5924.035594539625
Geotermica_SING,2048,5911.208163055407
Geotermica_SING,2049,4828.889524
Geotermica_SING,2050,4828.889524
Geotermica_VI,2017,6461.030719459175
Geotermica_VI,2018,6445.384297660744
Geotermica_VI,2019,6429.841142246184
Geotermica_VI,2020,6414.40057165736
Geotermica_VI,2021,6399.061908834421
Geotermica_VI,2022,6383.824481186115
Geotermica_VI,2023,6368.687620560286
Geotermica_VI,2024,6317.02553643396
Geotermica_VI,2025,6265.462696226117
Geotermica_VI,2026,6213.998444926894
Geotermica_VI,2027,6199.257258630121
Geotermica_VI,2028,6184.613364162905
Geotermica_VI,2029,6170.066119399175
Geotermica_VI,2030,6155.614886450882
Geotermica_VI,2031,6141.259031640051
Geotermica_VI,2032,6126.997925470971
Geotermica_VI,2033,6112.830942602605
Geotermica_VI,2034,6098.75746182117
Geotermica_VI,2035,6084.776866012895
Geotermica_VI,2036,6070.888542136954
Geotermica_VI,2037,6057.091881198594
Geotermica_VI,2038,6043.386278222425
Geotermica_VI,2039,6029.771132225901
Geotermica_VI,2040,6016.245846192954
Geotermica_VI,2041,6002.809827047823
Geotermica_VI,2042,5989.462485629051
Geotermica_VI,2043,5976.203236663644
Geotermica_VI,2044,5963.031498741407
Geotermica_VI,2045,5949.946694289458
Geotermica_VI,2046,5936.948249546891
Geotermica_VI,2047,5924.035594539625
Geotermica_VI,2048,5911.208163055407
Geotermica_VI,2049,4828.889524
Geotermica_VI,2050,4828.889524
Geotermica_VII,2017,6461.030719459175
Geotermica_VII,2018,6445.384297660744
Geotermica_VII,2019,6429.841142246184
Geotermica_VII,2020,6414.40057165736
Geotermica_VII,2021,6399.061908834421
Geotermica_VII,2022,6383.824481186115
Geotermica_VII,2023,6368.687620560286
Geotermica_VII,2024,6317.02553643396
Geotermica_VII,2025,6265.462696226117
Geotermica_VII,2026,6213.998444926894
Geotermica_VII,2027,6199.257258630121
Geotermica_VII,2028,6184.613364162905
Geotermica_VII,2029,6170.066119399175
Geotermica_VII,2030,6155.614886450882
Geotermica_VII,2031,6141.259031640051
Geotermica_VII,2032,6126.997925470971
Geotermica_VII,2033,6112.830942602605
Geotermica_VII,2034,6098.75746182117
Geotermica_VII,2035,6084.776866012895
Geotermica_VII,2036,6070.888542136954
Geotermica_VII,2037,6057.091881198594
Geotermica_VII,2038,6043.386278222425
Geotermica_VII,2039,6029.771132225901
Geotermica_VII,2040,6016.245846192954
Geotermica_VII,2041,6002.809827047823
Geotermica_VII,2042,5989.462485629051
Geotermica_VII,2043,5976.203236663644
Geotermica_VII,2044,5963.031498741407
Geotermica_VII,2045,5949.946694289458
Geotermica_VII,2046,5936.948249546891
Geotermica_VII,2047,5924.035594539625
Geotermica_VII,2048,5911.208163055407
Geotermica_VII,2049,4828.889524
Geotermica_VII,2050,4828.889524
Geotermica_VIII,2017,6461.030719459175
Geotermica_VIII,2018,6445.384297660744
Geotermica_VIII,2019,6429.841142246184
Geotermica_VIII,2020,6414.40057165736
Geotermica_VIII,2021,6399.061908834421
Geotermica_VIII,2022,6383.824481186115
Geotermica_VIII,2023,6368.687620560286
Geotermica_VIII,2024,6317.02553643396
Geotermica_VIII,2025,6265.462696226117
Geotermica_VIII,2026,6213.998444926894
Geotermica_VIII,2027,6199.257258630121
Geotermica_VIII,2028,6184.613364162905
Geotermica_VIII,2029,6170.066119399175
Geotermica_VIII,2030,6155.614886450882
Geotermica_VIII,2031,6141.259031640051
Geotermica_VIII,2032,6126.997925470971
Geotermica_VIII,2033,6112.830942602605
Geotermica_VIII,2034,6098.75746182117
Geotermica_VIII,2035,6084.776866012895
Geotermica_VIII,2036,6070.888542136954
Geotermica_VIII,2037,6057.091881198594
Geotermica_VIII,2038,6043.386278222425
Geotermica_VIII,2039,6029.771132225901
Geotermica_VIII,2040,6016.245846192954
Geotermica_VIII,2041,6002.809827047823
Geotermica_VIII,2042,5989.462485629051
Geotermica_VIII,2043,5976.203236663644
Geotermica_VIII,2044,5963.031498741407
Geotermica_VIII,2045,5949.946694289458
Geotermica_VIII,2046,5936.948249546891
Geotermica_VIII,2047,5924.035594539625
Geotermica_VIII,2048,5911.208163055407
Geotermica_VIII,2049,4828.889524
Geotermica_VIII,2050,4828.889524
GNL_CA_II-III,2017,800.0
GNL_CA_II-III,2018,800.0
GNL_CA_II-III,2019,800.0
GNL_CA_II-III,2020,803.2506210322422
GNL_CA_II-III,2021,800.5483355112095
GNL_CA_II-III,2022,797.142105014289
GNL_CA_II-III,2023,794.4165327740733
GNL_CA_II-III,2024,789.5385975896522
GNL_CA_II-III,2025,783.5534306953052
GNL_CA_II-III,2026,776.8289543972918
GNL_CA_II-III,2027,773.5926192994629
GNL_CA_II-III,2028,770.0357209845392
GNL_CA_II-III,2029,767.0293406947574
GNL_CA_II-III,2030,763.8294985195215
GNL_CA_II-III,2031,761.250722654047
GNL_CA_II-III,2032,757.9592711561122
GNL_CA_II-III,2033,754.8923316586908
GNL_CA_II-III,2034,752.0377740703367
GNL_CA_II-III,2035,749.4966603494248
GNL_CA_II-III,2036,747.629934872647
GNL_CA_II-III,2037,744.5217309423872
GNL_CA_II-III,2038,741.7406607847004
GNL_CA_II-III,2039,738.8681416251496
GNL_CA_II-III,2040,736.011526602066
GNL_CA_II-III,2041,733.6449413557652
GNL_CA_II-III,2042,730.942240025207
GNL_CA_II-III,2043,728.6770051475123
GNL_CA_II-III,2044,725.6376869706902
GNL_CA_II-III,2045,722.8534132627009
GNL_CA_II-III,2046,719.4990143305363
GNL_CA_II-III,2047,716.57829306453
GNL_CA_II-III,2048,714.7022316012915
GNL_CA_II-III,2049,712.8072907767545
GNL_CA_II-III,2050,705.0429467929018
GNL_CA_SING,2017,800.0
GNL_CA_SING,2018,800.0
GNL_CA_SING,2019,800.0
GNL_CA_SING,2020,803.2506210322422
GNL_CA_SING,2021,800.5483355112095
GNL_CA_SING,2022,797.142105014289
GNL_CA_SING,2023,794.4165327740733
GNL_CA_SING,2024,789.5385975896522
GNL_CA_SING,2025,783.5534306953052
GNL_CA_SING,2026,776.8289543972918
GNL_CA_SING,2027,773.5926192994629
GNL_CA_SING,2028,770.0357209845392
GNL_CA_SING,2029,767.0293406947574
GNL_CA_SING,2030,763.8294985195215
GNL_CA_SING,2031,761.250722654047
GNL_CA_SING,2032,757.9592711561122
GNL_CA_SING,2033,754.8923316586908
GNL_CA_SING,2034,752.0377740703367
GNL_CA_SING,2035,749.4966603494248
GNL_CA_SING,2036,747.629934872647
GNL_CA_SING,2037,744.5217309423872
GNL_CA_SING,2038,741.7406607847004
GNL_CA_SING,2039,738.8681416251496
GNL_CA_SING,2040,736.011526602066
GNL_CA_SING,2041,733.6449413557652
GNL_CA_SING,2042,730.942240025207
GNL_CA_SING,2043,728.6770051475123
GNL_CA_SING,2044,725.6376869706902
GNL_CA_SING,2045,722.8534132627009
GNL_CA_SING,2046,719.4990143305363
GNL_CA_SING,2047,716.57829306453
GNL_CA_SING,2048,714.7022316012915
GNL_CA_SING,2049,712.8072907767545
GNL_CA_SING,2050,705.0429467929018
GNL_CA_VIII,2017,800.0
GNL_CA_VIII,2018,800.0
GNL_CA_VIII,2019,800.0
GNL_CA_VIII,2020,803.2506210322422
GNL_CA_VIII,2021,800.5483355112095
GNL_CA_VIII,2022,797.142105014289
GNL_CA_VIII,2023,794.4165327740733
GNL_CA_VIII,2024,789.5385975896522
GNL_CA_VIII,2025,783.5534306953052
GNL_CA_VIII,2026,776.8289543972918
GNL_CA_VIII,2027,773.5926192994629
GNL_CA_VIII,2028,770.0357209845392
GNL_CA_VIII,2029,767.0293406947574
GNL_CA_VIII,2030,763.8294985195215
GNL_CA_VIII,2031,761.250722654047
GNL_CA_VIII,2032,757.9592711561122
GNL_CA_VIII,2033,754.8923316586908
GNL_CA_VIII,2034,752.0377740703367
GNL_CA_VIII,2035,749.4966603494248
GNL_CA_VIII,2036,747.629934872647
GNL_CA_VIII,2037,744.5217309423872
GNL_CA_VIII,2038,741.7406607847004
GNL_CA_VIII,2039,738.8681416251496
GNL_CA_VIII,2040,736.011526602066
GNL_CA_VIII,2041,733.6449413557652
GNL_CA_VIII,2042,730.942240025207
GNL_CA_VIII,2043,728.6770051475123
GNL_CA_VIII,2044,725.6376869706902
GNL_CA_VIII,2045,722.8534132627009
GNL_CA_VIII,2046,719.4990143305363
GNL_CA_VIII,2047,716.57829306453
GNL_CA_VIII,2048,714.7022316012915
GNL_CA_VIII,2049,712.8072907767545
GNL_CA_VIII,2050,705.0429467929018
GNL_CC_II-III,2017,800.0
