Energeticos,Agno,Precio
petroleo_combustible,2045,711.1473976610479
petroleo_combustible,2046,715.3971882146502
petroleo_combustible,2047,717.3859563225886
petroleo_combustible,2048,718.6930075677614
petroleo_combustible,2049,720.6714643554569
petroleo_combustible,2050,721.7582944412526
biomasa_iym,2017,12.8
biomasa_iym,2018,12.8
biomasa_iym,2019,12.8
biomasa_iym,2020,12.8
biomasa_iym,2021,12.8
biomasa_iym,2022,12.8
biomasa_iym,2023,12.8
biomasa_iym,2024,12.8
biomasa_iym,2025,12.8
biomasa_iym,2026,12.8
biomasa_iym,2027,12.8
biomasa_iym,2028,12.8
biomasa_iym,2029,12.8
biomasa_iym,2030,12.8
biomasa_iym,2031,12.8
biomasa_iym,2032,12.8
biomasa_iym,2033,12.8
biomasa_iym,2034,12.8
biomasa_iym,2035,12.8
biomasa_iym,2036,12.8
biomasa_iym,2037,12.8
biomasa_iym,2038,12.8
biomasa_iym,2039,12.8
biomasa_iym,2040,12.8
biomasa_iym,2041,12.8
biomasa_iym,2042,12.8
biomasa_iym,2043,12.8
biomasa_iym,2044,12.8
biomasa_iym,2045,12.8
biomasa_iym,2046,12.8
biomasa_iym,2047,12.8
biomasa_iym,2048,12.8
biomasa_iym,2049,12.8
biomasa_iym,2050,12.8
coque_petroleo,2017,503.9
coque_petroleo,2018,503.9
coque_petroleo,2019,503.9
coque_petroleo,2020,537.7
coque_petroleo,2021,563.0
coque_petroleo,2022,582.5
coque_petroleo,2023,594.4
coque_petroleo,2024,605.3
coque_petroleo,2025,624.4
coque_petroleo,2026,642.0
coque_petroleo,2027,653.0
coque_petroleo,2028,658.2
coque_petroleo,2029,668.8
coque_petroleo,2030,687.4
coque_petroleo,2031,704.8
coque_petroleo,2032,725.4
coque_petroleo,2033,726.3
coque_petroleo,2034,740.1
coque_petroleo,2035,745.3
coque_petroleo,2036,767.0
coque_petroleo,2037,770.9
coque_petroleo,2038,779.7
coque_petroleo,2039,792.7
coque_petroleo,2040,800.2
coque_petroleo,2041,805.3
coque_petroleo,2042,806.8
coque_petroleo,2043,811.3
coque_petroleo,2044,815.5
coque_petroleo,2045,820.3
coque_petroleo,2046,827.5
coque_petroleo,2047,836.1
coque_petroleo,2048,837.9
coque_petroleo,2049,848.9
coque_petroleo,2050,856.6
gas_licuado,2017,18.8
gas_licuado,2018,18.8
gas_licuado,2019,18.8
gas_licuado,2020,20.1
gas_licuado,2021,19.8
gas_licuado,2022,19.5
gas_licuado,2023,19.5
gas_licuado,2024,19.8
gas_licuado,2025,20.1
gas_licuado,2026,20.4
gas_licuado,2027,20.6
gas_licuado,2028,20.9
gas_licuado,2029,21.1
gas_licuado,2030,21.2
gas_licuado,2031,21.5
gas_licuado,2032,21.5
gas_licuado,2033,21.3
gas_licuado,2034,21.2
gas_licuado,2035,21.4
gas_licuado,2036,21.4
gas_licuado,2037,21.4
gas_licuado,2038,21.4
gas_licuado,2039,21.4
gas_licuado,2040,21.4
gas_licuado,2041,21.4
gas_licuado,2042,21.6
gas_licuado,2043,22.0
gas_licuado,2044,22.1
gas_licuado,2045,22.2
gas_licuado,2046,22.4
gas_licuado,2047,22.6
gas_licuado,2048,22.9
gas_licuado,2049,23.0
gas_licuado,2050,23.2
coque_mineral,2017,120.0
coque_mineral,2018,120.0
coque_mineral,2019,121.1
coque_mineral,2020,122.7
coque_mineral,2021,122.9
coque_mineral,2022,123.9
coque_mineral,2023,123.8
coque_mineral,2024,123.8
coque_mineral,2025,123.9
coque_mineral,2026,123.9
coque_mineral,2027,123.4
coque_mineral,2028,123.0
coque_mineral,2029,122.5
coque_mineral,2030,123.1
coque_mineral,2031,123.2
coque_mineral,2032,123.5
coque_mineral,2033,124.0
coque_mineral,2034,124.7
coque_mineral,2035,124.9
coque_mineral,2036,125.4
coque_mineral,2037,125.4
coque_mineral,2038,125.8
coque_mineral,2039,126.0
coque_mineral,2040,126.4
coque_mineral,2041,126.3
coque_mineral,2042,126.3
coque_mineral,2043,126.3
coque_mineral,2044,126.2
coque_mineral,2045,126.2
coque_mineral,2046,126.2
coque_mineral,2047,126.5
coque_mineral,2048,126.2
coque_mineral,2049,126.4
coque_mineral,2050,126.6
kerosene,2017,884.4946086339103
kerosene,2018,884.4946086339103
kerosene,2019,884.4946086339103
kerosene,2020,931.4595268601385
kerosene,2021,966.6546930002345
kerosene,2022,993.760715836932
kerosene,2023,1010.3291791046307
kerosene,2024,1025.5197107917675
kerosene,2025,1052.0989566572864
kerosene,2026,1076.63092942189
kerosene,2027,1091.8860095655023
kerosene,2028,1099.069165740603
kerosene,2029,1113.8089164038277
kerosene,2030,1139.731422608603
kerosene,2031,1163.9322839168888
kerosene,2032,1192.6062282023142
kerosene,2033,1193.889501539699
kerosene,2034,1212.969967555458
kerosene,2035,1220.3212767885607
kerosene,2036,1250.377096748014
kerosene,2037,1255.907966353181
kerosene,2038,1268.1055082842422
kerosene,2039,1286.218901821686
kerosene,2040,1296.567625891338
