Proceso,Hidrologia,Etapa,Factor_Planta
ABANICO,29,11,0.501123366
ABANICO,29,12,0.606321157
ABANICO,30,1,0.296786053
ABANICO,30,2,0.206582633
ABANICO,30,3,0.249940702
ABANICO,30,4,0.662275327
ABANICO,30,5,0.210112271
ABANICO,30,6,0.275122549
ABANICO,30,7,0.274154016
ABANICO,30,8,0.256957622
ABANICO,30,9,0.613255719
ABANICO,30,10,0.666805028
ABANICO,30,11,0.694852941
ABANICO,30,12,0.635278305
ABANICO,31,1,0.342741935
ABANICO,31,2,0.261510854
ABANICO,31,3,0.250533681
ABANICO,31,4,0.921160131
ABANICO,31,5,0.238970588
ABANICO,31,6,0.249693627
ABANICO,31,7,0.265951139
ABANICO,31,8,0.258835389
ABANICO,31,9,0.384906046
ABANICO,31,10,0.582107843
ABANICO,31,11,0.78564134
ABANICO,31,12,0.727387729
ABANICO,32,1,0.357764073
ABANICO,32,2,0.266653536
ABANICO,32,3,0.351735452
ABANICO,32,4,0.693218954
ABANICO,32,5,0.230372391
ABANICO,32,6,0.251633987
ABANICO,32,7,0.267038267
ABANICO,32,8,0.242528463
ABANICO,32,9,0.253472222
ABANICO,32,10,0.667200348
ABANICO,32,11,0.616523693
ABANICO,32,12,0.658602151
ABANICO,33,1,0.399074953
ABANICO,33,2,0.738904937
ABANICO,33,3,0.834716951
ABANICO,33,4,1.0
ABANICO,33,5,0.214460784
ABANICO,33,6,0.224877451
ABANICO,33,7,0.212681847
ABANICO,33,8,0.20408365
ABANICO,33,9,1.0
ABANICO,33,10,0.824735136
ABANICO,33,11,0.390522876
ABANICO,33,12,0.274055187
ABANICO,34,1,0.303901803
ABANICO,34,2,0.347623424
ABANICO,34,3,0.234819734
ABANICO,34,4,0.766748366
ABANICO,34,5,0.309930424
ABANICO,34,6,0.291462418
ABANICO,34,7,0.218117489
ABANICO,34,8,0.248260595
ABANICO,34,9,0.385110294
ABANICO,34,10,0.675600886
ABANICO,34,11,0.688623366
ABANICO,34,12,0.630732132
ABANICO,35,1,0.272572739
ABANICO,35,2,0.245098039
ABANICO,35,3,0.290559772
ABANICO,35,4,0.916360294
ABANICO,35,5,0.410835705
ABANICO,35,6,0.721405229
ABANICO,35,7,0.837583017
ABANICO,35,8,0.859622075
ABANICO,35,9,0.361315359
ABANICO,35,10,0.02707938
ABANICO,35,11,0.036764706
ABANICO,35,12,0.044473435
ABANICO,36,1,0.078273245
ABANICO,36,2,0.069043242
ABANICO,36,3,0.025498102
ABANICO,36,4,0.015522876
ABANICO,36,5,0.27860136
ABANICO,36,6,0.378472222
ABANICO,36,7,0.435345509
ABANICO,36,8,0.385139943
ABANICO,36,9,0.408088235
ABANICO,36,10,0.418445604
ABANICO,36,11,0.213848039
ABANICO,36,12,0.785697343
ABANICO,37,1,0.338294592
ABANICO,37,2,0.246192227
ABANICO,37,3,0.174237034
ABANICO,37,4,0.760416667
ABANICO,37,5,0.06087919
ABANICO,37,6,0.187091503
ABANICO,37,7,0.287594877
ABANICO,37,8,0.228494624
ABANICO,37,9,0.526552288
ABANICO,37,10,0.583787951
ABANICO,37,11,0.756229575
ABANICO,37,12,0.592583808
ABANICO,38,1,0.321888836
ABANICO,38,2,0.227372199
ABANICO,38,3,0.211100569
ABANICO,38,4,0.581699346
ABANICO,38,5,0.214460784
ABANICO,38,6,0.240298203
ABANICO,38,7,0.302617015
ABANICO,38,8,0.270101992
ABANICO,38,9,0.867953431
ABANICO,38,10,0.918327008
ABANICO,38,11,0.762561275
ABANICO,38,12,0.647829696
ABANICO,39,1,0.335725016
ABANICO,39,2,0.24236257
ABANICO,39,3,0.375454617
ABANICO,39,4,0.714869281
ABANICO,39,5,0.212088868
ABANICO,39,6,0.221609477
ABANICO,39,7,0.226913346
ABANICO,39,8,0.255475174
ABANICO,39,9,0.595486111
ABANICO,39,10,0.297972011
ABANICO,39,11,0.413705065
ABANICO,39,12,0.715626977
ABANICO,40,1,0.336812144
ABANICO,40,2,0.999868697
ABANICO,40,3,0.999960468
ABANICO,40,4,1.0
ABANICO,40,5,0.235412713
ABANICO,40,6,0.247651144
ABANICO,40,7,0.261503795
ABANICO,40,8,0.259131879
ABANICO,40,9,0.249693627
ABANICO,40,10,0.797062777
ABANICO,40,11,0.721813725
ABANICO,40,12,0.44176945
ABANICO,41,1,0.249347723
ABANICO,41,2,0.255383403
ABANICO,41,3,0.248062935
ABANICO,41,4,0.718647876
ABANICO,41,5,0.225925047
ABANICO,41,6,0.249387255
ABANICO,41,7,0.254388046
ABANICO,41,8,0.239662397
ABANICO,41,9,0.434946895
ABANICO,41,10,0.847960152
ABANICO,41,11,0.77318219
ABANICO,41,12,0.637749051
ABANICO,42,1,0.528542062
ABANICO,42,2,0.195421919
ABANICO,42,3,0.235215054
ABANICO,42,4,0.61499183
ABANICO,42,5,0.37377451
ABANICO,42,6,0.21875
ABANICO,42,7,0.196078431
ABANICO,42,8,0.229384092
ABANICO,42,9,0.764603758
ABANICO,42,10,0.721556768
ABANICO,42,11,0.740298203
ABANICO,42,12,0.700110689
ABANICO,43,1,0.310918722
ABANICO,43,2,0.243128501
ABANICO,43,3,0.231756009
ABANICO,43,4,0.53370098
ABANICO,43,5,0.35311907
ABANICO,43,6,0.236315359
ABANICO,43,7,0.246086338
ABANICO,43,8,0.355787476
ABANICO,43,9,0.571384804
ABANICO,43,10,0.565010278
ABANICO,43,11,0.786764706
ABANICO,43,12,0.748734978
ABANICO,44,1,0.32613852
ABANICO,44,2,0.254070378
ABANICO,44,3,0.25142315
ABANICO,44,4,0.627553105
ABANICO,44,5,0.228692283
ABANICO,44,6,0.223958333
ABANICO,44,7,0.36013599
ABANICO,44,8,0.999960468
ABANICO,44,9,0.974571078
ABANICO,44,10,0.871580487
ABANICO,44,11,0.88939951
ABANICO,44,12,0.742113378
ABANICO,45,1,0.487725332
ABANICO,45,2,0.205488445
ABANICO,45,3,0.188962682
ABANICO,45,4,0.672998366
ABANICO,45,5,0.22434377
ABANICO,45,6,0.163602941
ABANICO,45,7,0.384843454
ABANICO,45,8,0.261503795
ABANICO,45,9,0.827001634
ABANICO,45,10,0.927024035
ABANICO,45,11,0.233455882
ABANICO,45,12,0.835112271
ABANICO,46,1,0.424869545
ABANICO,46,2,0.372352066
ABANICO,46,3,0.16988852
ABANICO,46,4,0.688316993
ABANICO,46,5,0.164551708
ABANICO,46,6,0.30004085
ABANICO,46,7,0.260713156
ABANICO,46,8,0.341555977
ABANICO,46,9,0.702308007
ABANICO,46,10,0.759507432
ABANICO,46,11,0.687908497
ABANICO,46,12,0.578648798
ABANICO,47,1,0.29243754
ABANICO,47,2,0.185355392
ABANICO,47,3,0.227802815
ABANICO,47,4,0.74121732
ABANICO,47,5,0.250830171
ABANICO,47,6,0.325061275
ABANICO,47,7,0.331080013
ABANICO,47,8,0.355194497
ABANICO,47,9,0.185355392
ABANICO,47,10,0.313784788
ABANICO,47,11,0.177083333
ABANICO,47,12,0.150419039
ABANICO,48,1,0.185898956
ABANICO,48,2,0.17397584
ABANICO,48,3,0.160598514
ABANICO,48,4,0.495302288
ABANICO,48,5,0.168603732
ABANICO,48,6,0.410539216
ABANICO,48,7,0.442955408
ABANICO,48,8,0.387610689
ABANICO,48,9,0.66748366
ABANICO,48,10,0.216437381
ABANICO,48,11,0.215379902
ABANICO,48,12,0.212484187
ABANICO,49,1,0.30538425
ABANICO,49,2,0.182291667
ABANICO,49,3,0.171469798
ABANICO,49,4,0.845077614
ABANICO,49,5,0.415184219
ABANICO,49,6,0.204861111
ABANICO,49,7,0.41409709
ABANICO,49,8,0.785697343
ABANICO,49,9,0.836499183
ABANICO,49,10,0.019765971
ABANICO,49,11,0.021037582
ABANICO,49,12,0.021940228
ABANICO,50,1,0.134210942
ABANICO,50,2,0.109637605
ABANICO,50,3,0.058606104
ABANICO,50,4,0.119587418
ABANICO,50,5,0.218216319
ABANICO,50,6,0.380208333
ABANICO,50,7,0.310128083
ABANICO,50,8,0.585665718
ABANICO,50,9,0.604779412
ABANICO,50,10,0.729660816
ABANICO,50,11,0.233455882
ABANICO,50,12,0.195090133
ABANICO,51,1,0.198648008
ABANICO,51,2,0.18557423
ABANICO,51,3,0.181253953
ABANICO,51,4,0.594566993
ABANICO,51,5,0.577956989
ABANICO,51,6,0.411662582
ABANICO,51,7,0.305285421
ABANICO,51,8,0.264073371
ABANICO,51,9,0.665339052
ABANICO,51,10,0.708610057
ABANICO,51,11,0.47559232
ABANICO,51,12,0.494248102
ABANICO,52,1,0.649114485
ABANICO,52,2,0.191920518
ABANICO,52,3,0.212978336
ABANICO,52,4,0.558006536
ABANICO,52,5,0.104957306
ABANICO,52,6,0.59252451
ABANICO,52,7,0.588531784
ABANICO,52,8,0.769093928
ABANICO,52,9,1.0
ABANICO,52,10,0.168406072
ABANICO,52,11,0.277777778
ABANICO,52,12,0.209321632
ABANICO,53,1,0.192224067
ABANICO,53,2,0.17671131
ABANICO,53,3,0.111578906
ABANICO,53,4,0.509906046
ABANICO,53,5,0.05415876
ABANICO,53,6,0.168504902
ABANICO,53,7,0.273956357
ABANICO,53,8,0.516781309
ABANICO,53,9,0.32056781
ABANICO,53,10,0.052182163
ABANICO,53,11,0.030841503
ABANICO,53,12,0.029846616
ABANICO,54,1,0.028462998
ABANICO,54,2,0.02133666
ABANICO,54,3,0.010278305
ABANICO,54,4,0.007352941
ABANICO,54,5,0.184910658
ABANICO,54,6,0.373978758
ABANICO,54,7,0.408661448
ABANICO,54,8,0.395615908
ABANICO,54,9,0.361008987
ABANICO,54,10,0.193904175
ABANICO,54,11,0.222732843
ABANICO,54,12,0.223750791
ABANICO,55,1,0.27830487
ABANICO,55,2,0.169161415
ABANICO,55,3,0.157633618
ABANICO,55,4,0.590073529
ABANICO,55,5,0.096457938
ABANICO,55,6,0.164011438
ABANICO,55,7,0.327324478
ABANICO,55,8,0.698924731
ABANICO,55,9,0.871527778
ABANICO,55,10,0.515002372
ABANICO,55,11,0.286968954
ABANICO,55,12,0.599798387
ABANICO,56,1,0.302320525
ABANICO,56,2,0.286348915
ABANICO,56,3,0.34620098
ABANICO,56,4,0.552900327
ABANICO,56,5,0.108119861
ABANICO,56,6,0.432393791
ABANICO,56,7,0.174928843
ABANICO,56,8,0.532692916
ABANICO,56,9,0.477022059
ABANICO,56,10,0.23748814
ABANICO,56,11,0.480187908
ABANICO,56,12,0.878696237
ABANICO,57,1,0.384843454
ABANICO,57,2,0.24498862
ABANICO,57,3,0.284333491
ABANICO,57,4,0.570363562
ABANICO,57,5,0.759013283
ABANICO,57,6,0.666666667
ABANICO,57,7,0.614128716
ABANICO,57,8,0.472604364
ABANICO,57,9,0.458026961
ABANICO,57,10,0.103376028
ABANICO,57,11,0.124183007
ABANICO,57,12,0.056728336
ABANICO,58,1,0.030834915
ABANICO,58,2,0.033263305
ABANICO,58,3,0.024509804
ABANICO,58,4,0.01685049
ABANICO,58,5,0.206752056
ABANICO,58,6,0.412071078
ABANICO,58,7,0.280083808
ABANICO,58,8,0.408562619
ABANICO,58,9,0.658292484
ABANICO,58,10,0.492864485
ABANICO,58,11,0.414215686
ABANICO,58,12,0.595944023
ALFALFAL,1,1,0.800033225
ALFALFAL,1,2,1.00003344
ALFALFAL,1,3,0.999909387
ALFALFAL,1,4,0.633426966
ALFALFAL,1,5,0.460462728
