Proceso,Agno,Pmax
I_COB_nuevo_caldera_solar,2033,16.0
I_COB_nuevo_caldera_solar,2034,21.0
I_COB_nuevo_caldera_solar,2035,27.0
I_COB_nuevo_caldera_solar,2036,33.0
I_COB_nuevo_caldera_solar,2037,39.0
I_COB_nuevo_caldera_solar,2038,46.0
I_COB_nuevo_caldera_solar,2039,54.0
I_COB_nuevo_caldera_solar,2040,62.0
I_COB_nuevo_caldera_solar,2041,70.0
I_COB_nuevo_caldera_solar,2042,79.0
I_COB_nuevo_caldera_solar,2043,89.0
I_COB_nuevo_caldera_solar,2044,99.0
I_COB_nuevo_caldera_solar,2045,109.0
I_COB_nuevo_caldera_solar,2046,121.0
I_COB_nuevo_caldera_solar,2047,132.0
I_COB_nuevo_caldera_solar,2048,145.0
I_COB_nuevo_caldera_solar,2049,158.0
I_COB_nuevo_caldera_solar,2050,171.0
TRANS_VEH_ELECTRICO_2018,2017,0.0
TRANS_VEH_ELECTRICO_2018,2018,328.0
TRANS_VEH_ELECTRICO_2018,2019,1892.0
TRANS_VEH_ELECTRICO_2018,2020,4713.0
TRANS_VEH_ELECTRICO_2018,2021,8669.0
TRANS_VEH_ELECTRICO_2018,2022,13560.0
TRANS_VEH_ELECTRICO_2018,2023,20200.0
TRANS_VEH_ELECTRICO_2018,2024,28190.0
TRANS_VEH_ELECTRICO_2018,2025,37007.0
TRANS_VEH_ELECTRICO_2018,2026,51529.0
TRANS_VEH_ELECTRICO_2018,2027,70208.0
TRANS_VEH_ELECTRICO_2018,2028,91253.0
TRANS_VEH_ELECTRICO_2018,2029,116408.0
TRANS_VEH_ELECTRICO_2018,2030,146297.0
TRANS_VEH_ELECTRICO_2018,2031,181631.0
TRANS_VEH_ELECTRICO_2018,2032,223092.0
TRANS_VEH_ELECTRICO_2018,2033,271412.0
TRANS_VEH_ELECTRICO_2018,2034,327338.0
TRANS_VEH_ELECTRICO_2018,2035,391615.0
TRANS_VEH_ELECTRICO_2018,2036,460848.0
TRANS_VEH_ELECTRICO_2018,2037,544066.0
TRANS_VEH_ELECTRICO_2018,2038,637753.0
TRANS_VEH_ELECTRICO_2018,2039,736887.0
TRANS_VEH_ELECTRICO_2018,2040,853345.0
TRANS_VEH_ELECTRICO_2018,2041,975565.0
TRANS_VEH_ELECTRICO_2018,2042,1117950.0
TRANS_VEH_ELECTRICO_2018,2043,1266843.0
TRANS_VEH_ELECTRICO_2018,2044,1439209.0
TRANS_VEH_ELECTRICO_2018,2045,1619082.0
TRANS_VEH_ELECTRICO_2018,2046,1816359.0
TRANS_VEH_ELECTRICO_2018,2047,2043319.0
TRANS_VEH_ELECTRICO_2018,2048,2279926.0
TRANS_VEH_ELECTRICO_2018,2049,2538880.0
TRANS_VEH_ELECTRICO_2018,2050,2822277.0
TRANSANTIAGO_ELECTRICO_NUEVO,2017,0.0
TRANSANTIAGO_ELECTRICO_NUEVO,2018,2.0
TRANSANTIAGO_ELECTRICO_NUEVO,2019,95.0
TRANSANTIAGO_ELECTRICO_NUEVO,2020,297.0
TRANSANTIAGO_ELECTRICO_NUEVO,2021,364.0
TRANSANTIAGO_ELECTRICO_NUEVO,2022,442.0
TRANSANTIAGO_ELECTRICO_NUEVO,2023,442.0
TRANSANTIAGO_ELECTRICO_NUEVO,2024,442.0
TRANSANTIAGO_ELECTRICO_NUEVO,2025,442.0
TRANSANTIAGO_ELECTRICO_NUEVO,2026,442.0
TRANSANTIAGO_ELECTRICO_NUEVO,2027,442.0
TRANSANTIAGO_ELECTRICO_NUEVO,2028,443.0
TRANSANTIAGO_ELECTRICO_NUEVO,2029,445.0
TRANSANTIAGO_ELECTRICO_NUEVO,2030,1260.0
TRANSANTIAGO_ELECTRICO_NUEVO,2031,1570.0
TRANSANTIAGO_ELECTRICO_NUEVO,2032,1684.0
TRANSANTIAGO_ELECTRICO_NUEVO,2033,1684.0
TRANSANTIAGO_ELECTRICO_NUEVO,2034,1685.0
TRANSANTIAGO_ELECTRICO_NUEVO,2035,1688.0
TRANSANTIAGO_ELECTRICO_NUEVO,2036,1717.0
TRANSANTIAGO_ELECTRICO_NUEVO,2037,1751.0
TRANSANTIAGO_ELECTRICO_NUEVO,2038,1864.0
TRANSANTIAGO_ELECTRICO_NUEVO,2039,1931.0
TRANSANTIAGO_ELECTRICO_NUEVO,2040,4545.0
TRANSANTIAGO_ELECTRICO_NUEVO,2041,5438.0
TRANSANTIAGO_ELECTRICO_NUEVO,2042,6268.0
TRANSANTIAGO_ELECTRICO_NUEVO,2043,6334.0
TRANSANTIAGO_ELECTRICO_NUEVO,2044,6448.0
TRANSANTIAGO_ELECTRICO_NUEVO,2045,6473.0
TRANSANTIAGO_ELECTRICO_NUEVO,2046,6500.0
TRANSANTIAGO_ELECTRICO_NUEVO,2047,6500.0
TRANSANTIAGO_ELECTRICO_NUEVO,2048,6500.0
TRANSANTIAGO_ELECTRICO_NUEVO,2049,6500.0
TRANSANTIAGO_ELECTRICO_NUEVO,2050,6500.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2017,0.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2018,125.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2019,728.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2020,1834.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2021,3412.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2022,5388.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2023,8097.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2024,11391.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2025,15063.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2026,21113.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2027,28967.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2028,37884.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2029,48592.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2030,61425.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2031,76648.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2032,94655.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2033,115821.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2034,140383.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2035,168843.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2036,199815.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2037,237043.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2038,279298.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2039,324483.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2040,377941.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2041,434221.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2042,500220.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2043,569996.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2044,651341.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2045,737243.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2046,831454.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2047,940560.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2048,1055605.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2049,1182683.0
TRANS_VEH_MEDIANO_ELECTRICO_2018,2050,1323075.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2017,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2018,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2019,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2020,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2021,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2022,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2023,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2024,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2025,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2026,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2027,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2028,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2029,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2030,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2031,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2032,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2033,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2034,0.0
