Curva,Etapa,Bloque,Distribucion
curva_siderurgia,7,1,0.225531915
curva_siderurgia,7,2,0.106382979
curva_siderurgia,7,3,0.434042553
curva_siderurgia,7,4,0.106382979
curva_siderurgia,7,5,0.127659574
curva_siderurgia,8,1,0.225531915
curva_siderurgia,8,2,0.106382979
curva_siderurgia,8,3,0.434042553
curva_siderurgia,8,4,0.106382979
curva_siderurgia,8,5,0.127659574
curva_siderurgia,9,1,0.225531915
curva_siderurgia,9,2,0.106382979
curva_siderurgia,9,3,0.434042553
curva_siderurgia,9,4,0.106382979
curva_siderurgia,9,5,0.127659574
curva_siderurgia,10,1,0.225531915
curva_siderurgia,10,2,0.106382979
curva_siderurgia,10,3,0.434042553
curva_siderurgia,10,4,0.106382979
curva_siderurgia,10,5,0.127659574
curva_siderurgia,11,1,0.225531915
curva_siderurgia,11,2,0.106382979
curva_siderurgia,11,3,0.434042553
curva_siderurgia,11,4,0.106382979
curva_siderurgia,11,5,0.127659574
curva_siderurgia,12,1,0.225531915
curva_siderurgia,12,2,0.106382979
curva_siderurgia,12,3,0.434042553
curva_siderurgia,12,4,0.106382979
curva_siderurgia,12,5,0.127659574
curva_veh,1,1,0.3858
curva_veh,1,2,0.1162
curva_veh,1,3,0.2661
curva_veh,1,4,0.1028
curva_veh,1,5,0.1291
curva_veh,2,1,0.3858
curva_veh,2,2,0.1162
curva_veh,2,3,0.2661
curva_veh,2,4,0.1028
curva_veh,2,5,0.1291
curva_veh,3,1,0.3858
curva_veh,3,2,0.1162
curva_veh,3,3,0.2661
curva_veh,3,4,0.1028
curva_veh,3,5,0.1291
curva_veh,4,1,0.3858
curva_veh,4,2,0.1162
curva_veh,4,3,0.2661
curva_veh,4,4,0.1028
curva_veh,4,5,0.1291
curva_veh,5,1,0.3858
curva_veh,5,2,0.1162
curva_veh,5,3,0.2661
curva_veh,5,4,0.1028
curva_veh,5,5,0.1291
curva_veh,6,1,0.3858
curva_veh,6,2,0.1162
curva_veh,6,3,0.2661
curva_veh,6,4,0.1028
curva_veh,6,5,0.1291
