ID_flujo_1,ID_flujo_2,Relacion
497,522,1
497,525,1
497,528,1
497,531,1
497,542,1
497,534,1
497,537,1
545,553,1
545,555,1
545,557,1
545,559,1
546,563,1
546,565,1
546,567,1
546,569,1
547,561,1
548,549,1
550,571,1
550,574,1
550,577,1
550,580,1
550,583,1
548,551,1
552,572,1
552,575,1
552,578,1
552,581,1
552,584,1
587,595,1
587,597,1
587,599,1
587,601,1
587,603,1
587,605,1
587,631,1
588,609,1
588,611,1
588,613,1
588,615,1
588,617,1
589,607,1
590,591,1
592,619,1
592,622,1
592,625,1
592,628,1
592,633,1
592,636,1
590,593,1
594,620,1
594,623,1
594,626,1
594,629,1
594,634,1
594,637,1
640,648,1
640,650,1
640,652,1
640,654,1
640,656,1
640,658,1
640,693,1
641,662,1
641,664,1
641,666,1
641,668,1
641,670,1
642,660,1
643,644,1
645,672,1
645,675,1
645,678,1
645,681,1
645,684,1
645,687,1
645,690,1
645,695,1
645,698,1
643,646,1
647,673,1
647,676,1
647,679,1
647,682,1
647,685,1
647,688,1
647,691,1
647,696,1
647,699,1
702,710,1
702,712,1
702,714,1
702,716,1
703,720,1
703,722,1
703,724,1
704,718,1
705,706,1
707,726,1
707,729,1
707,732,1
707,735,1
707,738,1
707,741,1
705,708,1
709,727,1
709,730,1
709,733,1
709,736,1
709,739,1
709,742,1
745,754,1
745,756,1
745,758,1
745,760,1
745,762,1
745,764,1
745,766,1
745,768,1
746,772,1
746,774,1
748,776,1
747,770,1
748,778,1
749,750,1
751,780,1
751,783,1
751,786,1
751,789,1
751,792,1
751,795,1
751,798,1
751,801,1
749,752,1
753,781,1
753,784,1
753,787,1
753,790,1
753,793,1
753,796,1
753,799,1
753,802,1
805,814,1
805,816,1
805,818,1
805,820,1
805,822,1
805,824,1
805,826,1
805,828,1
806,832,1
806,834,1
807,830,1
808,836,1
808,838,1
809,810,1
811,840,1
811,843,1
811,846,1
811,849,1
809,812,1
813,841,1
813,844,1
813,847,1
813,850,1
853,862,1
853,864,1
853,866,1
853,868,1
853,870,1
853,872,1
853,874,1
853,876,1
853,878,1
854,882,1
854,884,1
855,880,1
856,886,1
856,888,1
857,858,1
859,890,1
859,893,1
859,896,1
859,899,1
859,902,1
859,905,1
857,860,1
861,891,1
861,894,1
861,897,1
861,900,1
861,903,1
861,906,1
909,918,1
910,920,1
911,922,1
912,924,1
913,926,1
914,928,1
915,930,1
916,932,1
917,934,1
1132,1129,1
1386,1392,1
1387,1394,1
1388,1396,1
1389,1398,1
1390,1400,1
1391,1402,1
1405,1411,1
1406,1413,1
1407,1415,1
1408,1417,1
1409,1419,1
1410,1421,1
