Proceso,Agno,Etapa,Factor_Planta
CANUTILLAR,2017,5,0.940070505
CANUTILLAR,2017,6,0.572610654
CANUTILLAR,2017,7,0.122641927
CANUTILLAR,2017,8,0.885817444
CANUTILLAR,2017,9,0.076870349
CANUTILLAR,2017,10,0.911246099
CANUTILLAR,2017,11,0.815217391
CANUTILLAR,2017,12,0.812769291
CAPULLO,2017,1,0.383064516
CAPULLO,2017,2,0.424107143
CAPULLO,2017,3,0.268817204
CAPULLO,2017,4,0.381944444
CAPULLO,2017,5,0.414426523
CAPULLO,2017,6,0.740740741
CAPULLO,2017,7,0.7515681
CAPULLO,2017,8,0.716845878
CAPULLO,2017,9,0.729166667
CAPULLO,2017,10,0.582437276
CAPULLO,2017,11,0.277777778
CAPULLO,2017,12,0.526433692
CARENA,2017,1,0.907258065
CARENA,2017,2,0.897321429
CARENA,2017,3,0.873655914
CARENA,2017,4,0.801388889
CARENA,2017,5,0.862903226
CARENA,2017,6,0.831944444
CARENA,2017,7,0.838709677
CARENA,2017,8,0.341397849
CARENA,2017,9,0.941666667
CARENA,2017,10,0.787634409
CARENA,2017,11,0.808333333
CARENA,2017,12,0.793010753
CARILAFQUEN,2017,1,0.631313131
CARILAFQUEN,2017,2,0.497534873
CARILAFQUEN,2017,3,0.374714891
CARILAFQUEN,2017,4,0.51627385
CARILAFQUEN,2017,5,0.971407625
CARILAFQUEN,2017,6,0.786335578
CARILAFQUEN,2017,7,0.879765396
CARILAFQUEN,2017,8,0.61502118
CARILAFQUEN,2017,9,0.802469136
CARILAFQUEN,2017,10,0.73313783
CARILAFQUEN,2017,11,0.778619529
CARILAFQUEN,2017,12,0.971407625
CAVANCHA,2017,1,0.692721257
CAVANCHA,2017,2,0.686813187
CAVANCHA,2017,3,0.692721257
CAVANCHA,2017,4,0.694444444
CAVANCHA,2017,5,0.692721257
CAVANCHA,2017,6,0.694444444
CAVANCHA,2017,7,0.692721257
CAVANCHA,2017,8,0.692721257
CAVANCHA,2017,9,0.694444444
CAVANCHA,2017,10,0.692721257
CAVANCHA,2017,11,0.694444444
CAVANCHA,2017,12,0.692721257
CHACABUQUITO,2017,1,0.999958161
CHACABUQUITO,2017,2,0.898647397
CHACABUQUITO,2017,3,0.720681143
CHACABUQUITO,2017,4,0.497189797
CHACABUQUITO,2017,5,0.496841136
CHACABUQUITO,2017,6,0.527453524
