Demanda,Etapa,Participacion
iluminacion_I,9,0.08333333333333333
otros_electricos_I,9,0.08333333333333333
enfriamiento_I,9,0.08333333333333333
calefaccion_biomasa_I,10,0.05
calefaccion_electricidad_I,10,0.05
coccion_electricidad_I,10,0.08333333333333333
coccion_gas_licuado_I,10,0.08333333333333333
refrigeracion_I,10,0.08333333333333333
iluminacion_I,10,0.08333333333333333
otros_electricos_I,10,0.08333333333333333
enfriamiento_I,10,0.08333333333333333
calefaccion_biomasa_I,11,0.0
calefaccion_electricidad_I,11,0.0
coccion_electricidad_I,11,0.08333333333333333
coccion_gas_licuado_I,11,0.08333333333333333
refrigeracion_I,11,0.08333333333333333
iluminacion_I,11,0.08333333333333333
otros_electricos_I,11,0.08333333333333333
enfriamiento_I,11,0.08333333333333333
calefaccion_biomasa_I,12,0.0
calefaccion_electricidad_I,12,0.0
coccion_electricidad_I,12,0.08333333333333333
coccion_gas_licuado_I,12,0.08333333333333333
refrigeracion_I,12,0.08333333333333333
iluminacion_I,12,0.08333333333333333
otros_electricos_I,12,0.08333333333333333
enfriamiento_I,12,0.08333333333333333
calefaccion_biomasa_II,1,0.0
calefaccion_electricidad_II,1,0.0
coccion_electricidad_II,1,0.08333333333333333
coccion_gas_licuado_II,1,0.08333333333333333
refrigeracion_II,1,0.08333333333333333
iluminacion_II,1,0.08333333333333333
otros_electricos_II,1,0.08333333333333333
enfriamiento_II,1,0.08333333333333333
calefaccion_biomasa_II,2,0.0
calefaccion_electricidad_II,2,0.0
coccion_electricidad_II,2,0.08333333333333333
coccion_gas_licuado_II,2,0.08333333333333333
refrigeracion_II,2,0.08333333333333333
iluminacion_II,2,0.08333333333333333
otros_electricos_II,2,0.08333333333333333
enfriamiento_II,2,0.08333333333333333
calefaccion_biomasa_II,3,0.0
calefaccion_electricidad_II,3,0.0
coccion_electricidad_II,3,0.08333333333333333
coccion_gas_licuado_II,3,0.08333333333333333
refrigeracion_II,3,0.08333333333333333
iluminacion_II,3,0.08333333333333333
otros_electricos_II,3,0.08333333333333333
enfriamiento_II,3,0.08333333333333333
calefaccion_biomasa_II,4,0.05
calefaccion_electricidad_II,4,0.05
coccion_electricidad_II,4,0.08333333333333333
coccion_gas_licuado_II,4,0.08333333333333333
refrigeracion_II,4,0.08333333333333333
iluminacion_II,4,0.08333333333333333
otros_electricos_II,4,0.08333333333333333
enfriamiento_II,4,0.08333333333333333
calefaccion_biomasa_II,5,0.15
calefaccion_electricidad_II,5,0.15
coccion_electricidad_II,5,0.08333333333333333
coccion_gas_licuado_II,5,0.08333333333333333
refrigeracion_II,5,0.08333333333333333
iluminacion_II,5,0.08333333333333333
otros_electricos_II,5,0.08333333333333333
enfriamiento_II,5,0.08333333333333333
calefaccion_biomasa_II,6,0.25
calefaccion_electricidad_II,6,0.25
coccion_electricidad_II,6,0.08333333333333333
coccion_gas_licuado_II,6,0.08333333333333333
refrigeracion_II,6,0.08333333333333333
iluminacion_II,6,0.08333333333333333
otros_electricos_II,6,0.08333333333333333
enfriamiento_II,6,0.08333333333333333
calefaccion_biomasa_II,7,0.25
calefaccion_electricidad_II,7,0.25
coccion_electricidad_II,7,0.08333333333333333
coccion_gas_licuado_II,7,0.08333333333333333
refrigeracion_II,7,0.08333333333333333
iluminacion_II,7,0.08333333333333333
otros_electricos_II,7,0.08333333333333333
enfriamiento_II,7,0.08333333333333333
calefaccion_biomasa_II,8,0.15
calefaccion_electricidad_II,8,0.15
coccion_electricidad_II,8,0.08333333333333333
coccion_gas_licuado_II,8,0.08333333333333333
refrigeracion_II,8,0.08333333333333333
iluminacion_II,8,0.08333333333333333
otros_electricos_II,8,0.08333333333333333
enfriamiento_II,8,0.08333333333333333
calefaccion_biomasa_II,9,0.1
calefaccion_electricidad_II,9,0.1
coccion_electricidad_II,9,0.08333333333333333
coccion_gas_licuado_II,9,0.08333333333333333
refrigeracion_II,9,0.08333333333333333
iluminacion_II,9,0.08333333333333333
otros_electricos_II,9,0.08333333333333333
enfriamiento_II,9,0.08333333333333333
calefaccion_biomasa_II,10,0.05
calefaccion_electricidad_II,10,0.05
coccion_electricidad_II,10,0.08333333333333333
coccion_gas_licuado_II,10,0.08333333333333333
refrigeracion_II,10,0.08333333333333333
iluminacion_II,10,0.08333333333333333
otros_electricos_II,10,0.08333333333333333
enfriamiento_II,10,0.08333333333333333
calefaccion_biomasa_II,11,0.0
calefaccion_electricidad_II,11,0.0
coccion_electricidad_II,11,0.08333333333333333
coccion_gas_licuado_II,11,0.08333333333333333
refrigeracion_II,11,0.08333333333333333
iluminacion_II,11,0.08333333333333333
otros_electricos_II,11,0.08333333333333333
enfriamiento_II,11,0.08333333333333333
calefaccion_biomasa_II,12,0.0
calefaccion_electricidad_II,12,0.0
coccion_electricidad_II,12,0.08333333333333333
coccion_gas_licuado_II,12,0.08333333333333333
refrigeracion_II,12,0.08333333333333333
iluminacion_II,12,0.08333333333333333
otros_electricos_II,12,0.08333333333333333
enfriamiento_II,12,0.08333333333333333
calefaccion_biomasa_III,1,0.0
calefaccion_electricidad_III,1,0.0
coccion_electricidad_III,1,0.08333333333333333
coccion_gas_licuado_III,1,0.08333333333333333
refrigeracion_III,1,0.08333333333333333
iluminacion_III,1,0.08333333333333333
otros_electricos_III,1,0.08333333333333333
enfriamiento_III,1,0.08333333333333333
calefaccion_biomasa_III,2,0.0
calefaccion_electricidad_III,2,0.0
coccion_electricidad_III,2,0.08333333333333333
coccion_gas_licuado_III,2,0.08333333333333333
refrigeracion_III,2,0.08333333333333333
iluminacion_III,2,0.08333333333333333
otros_electricos_III,2,0.08333333333333333
enfriamiento_III,2,0.08333333333333333
calefaccion_biomasa_III,3,0.0
calefaccion_electricidad_III,3,0.0
coccion_electricidad_III,3,0.08333333333333333
coccion_gas_licuado_III,3,0.08333333333333333
refrigeracion_III,3,0.08333333333333333
iluminacion_III,3,0.08333333333333333
otros_electricos_III,3,0.08333333333333333
enfriamiento_III,3,0.08333333333333333
calefaccion_biomasa_III,4,0.05
calefaccion_electricidad_III,4,0.05
coccion_electricidad_III,4,0.08333333333333333
coccion_gas_licuado_III,4,0.08333333333333333
