Proceso,Barra,Participacion,Perdidas
I_COB_impuesto_calor_electricidad,XIII,0.07153094638091947,0.0
I_COB_impuesto_calor_electricidad,X-XIV,0.0,0.0
I_COB_impuesto_electricidad,II-III,0.11041894282381826,0.0
I_COB_impuesto_electricidad,IV,0.0793200838559416,0.0
I_COB_impuesto_electricidad,SING,0.5696432937059425,0.0
I_COB_impuesto_electricidad,V,0.07288044312205225,0.0
I_COB_impuesto_electricidad,VI,0.09620629011132595,0.0
I_COB_impuesto_electricidad,VII,0.0,0.0
I_COB_impuesto_electricidad,VIII,0.0,0.0
I_COB_impuesto_electricidad,XIII,0.07153094638091947,0.0
I_COB_impuesto_electricidad,X-XIV,0.0,0.0
I_COB_impuesto_motriz_electricidad,II-III,0.11041894282381826,0.0
I_COB_impuesto_motriz_electricidad,IV,0.0793200838559416,0.0
I_COB_impuesto_motriz_electricidad,SING,0.5696432937059425,0.0
I_COB_impuesto_motriz_electricidad,V,0.07288044312205225,0.0
I_COB_impuesto_motriz_electricidad,VI,0.09620629011132595,0.0
I_COB_impuesto_motriz_electricidad,VII,0.0,0.0
I_COB_impuesto_motriz_electricidad,VIII,0.0,0.0
I_COB_impuesto_motriz_electricidad,XIII,0.07153094638091947,0.0
I_COB_impuesto_motriz_electricidad,X-XIV,0.0,0.0
I_COB_motriz_electricidad,II-III,0.11041894282381826,0.0
I_COB_motriz_electricidad,IV,0.0793200838559416,0.0
I_COB_motriz_electricidad,SING,0.5696432937059425,0.0
I_COB_motriz_electricidad,V,0.07288044312205225,0.0
I_COB_motriz_electricidad,VI,0.09620629011132595,0.0
I_COB_motriz_electricidad,VII,0.0,0.0
I_COB_motriz_electricidad,VIII,0.0,0.0
I_COB_motriz_electricidad,XIII,0.07153094638091947,0.0
I_COB_motriz_electricidad,X-XIV,0.0,0.0
I_COB_nuevo_calor_electricidad,II-III,0.11041894282381826,0.0
I_COB_nuevo_calor_electricidad,IV,0.0793200838559416,0.0
I_COB_nuevo_calor_electricidad,SING,0.5696432937059425,0.0
I_COB_nuevo_calor_electricidad,V,0.07288044312205225,0.0
I_COB_nuevo_calor_electricidad,VI,0.09620629011132595,0.0
I_COB_nuevo_calor_electricidad,VII,0.0,0.0
I_COB_nuevo_calor_electricidad,VIII,0.0,0.0
I_COB_nuevo_calor_electricidad,XIII,0.07153094638091947,0.0
I_COB_nuevo_calor_electricidad,X-XIV,0.0,0.0
I_COB_nuevo_electricidad,II-III,0.11041894282381826,0.0
I_COB_nuevo_electricidad,IV,0.0793200838559416,0.0
I_COB_nuevo_electricidad,SING,0.5696432937059425,0.0
I_COB_nuevo_electricidad,V,0.07288044312205225,0.0
I_COB_nuevo_electricidad,VI,0.09620629011132595,0.0
I_COB_nuevo_electricidad,VII,0.0,0.0
I_COB_nuevo_electricidad,VIII,0.0,0.0
I_COB_nuevo_electricidad,XIII,0.07153094638091947,0.0
I_COB_nuevo_electricidad,X-XIV,0.0,0.0
I_COB_nuevo_motriz_electricidad_norm,II-III,0.11041894282381826,0.0
I_COB_nuevo_motriz_electricidad_norm,IV,0.0793200838559416,0.0
I_COB_nuevo_motriz_electricidad_norm,SING,0.5696432937059425,0.0
I_COB_nuevo_motriz_electricidad_norm,V,0.07288044312205225,0.0
I_COB_nuevo_motriz_electricidad_norm,VI,0.09620629011132595,0.0
I_COB_nuevo_motriz_electricidad_norm,VII,0.0,0.0
I_COB_nuevo_motriz_electricidad_norm,VIII,0.0,0.0
I_COB_nuevo_motriz_electricidad_norm,XIII,0.07153094638091947,0.0
I_COB_nuevo_motriz_electricidad_norm,X-XIV,0.0,0.0
I_COB_nuevo_motriz_electricidad_prem,II-III,0.11041894282381826,0.0
I_COB_nuevo_motriz_electricidad_prem,IV,0.0793200838559416,0.0
I_COB_nuevo_motriz_electricidad_prem,SING,0.5696432937059425,0.0
I_COB_nuevo_motriz_electricidad_prem,V,0.07288044312205225,0.0
I_COB_nuevo_motriz_electricidad_prem,VI,0.09620629011132595,0.0
I_COB_nuevo_motriz_electricidad_prem,VII,0.0,0.0
I_COB_nuevo_motriz_electricidad_prem,VIII,0.0,0.0
I_COB_nuevo_motriz_electricidad_prem,XIII,0.07153094638091947,0.0
I_COB_nuevo_motriz_electricidad_prem,X-XIV,0.0,0.0
I_HIE_electricidad,II-III,0.896536404830699,0.0
I_HIE_electricidad,IV,0.10346359516930098,0.0
