Proceso,Gas,Factor_emision
DEUTZ,CO2,1115.194
DEUTZ,CH4,0.045
DEUTZ,N2O,0.009
TGTAR_SING,CO2,1351.578
TGTAR_SING,CH4,0.055
TGTAR_SING,N2O,0.011
ZOFRI_1,CO2,754.952
ZOFRI_1,CH4,0.031
ZOFRI_1,N2O,0.006
ZOFRI_2-5,CO2,746.166
ZOFRI_2-5,CH4,0.03
ZOFRI_2-5,N2O,0.006
ZOFRI_6,CO2,663.033
ZOFRI_6,CH4,0.027
ZOFRI_6,N2O,0.005
ZOFRI_7-12,CO2,706.695
ZOFRI_7-12,CH4,0.029
ZOFRI_7-12,N2O,0.006
ZOFRI_13,CO2,746.504
ZOFRI_13,CH4,0.03
ZOFRI_13,N2O,0.006
UG1,CO2,740.083
UG1,CH4,0.03
UG1,N2O,0.006
UG2,CO2,729.945
UG2,CH4,0.03
UG2,N2O,0.006
UG3,CO2,726.566
UG3,CH4,0.029
UG3,N2O,0.006
UG4,CO2,682.634
UG4,CH4,0.028
UG4,N2O,0.006
UG5,CO2,756.98
UG5,CH4,0.031
UG5,N2O,0.006
UG6,CO2,743.462
UG6,CH4,0.03
UG6,N2O,0.006
AGB,CO2,790.774
AGB,CH4,0.032
AGB,N2O,0.006
INACAL,CO2,883.303
INACAL,CH4,0.036
INACAL,N2O,0.007
SUTA_SING,CO2,760.1
SUTA_SING,CH4,0.031
SUTA_SING,N2O,0.006
TECNET,CO2,731.297
TECNET,CH4,0.03
TECNET,N2O,0.006
Diesel_SING,CO2,844.844
Diesel_SING,CH4,0.034
Diesel_SING,N2O,0.007
Diesel_IV,CO2,844.844
Diesel_IV,CH4,0.034
Diesel_IV,N2O,0.007
Diesel_X-XIV,CO2,844.844
Diesel_X-XIV,CH4,0.034
Diesel_X-XIV,N2O,0.007
GUACOLDA_1,CO2,1097.175
GUACOLDA_1,CH4,0.012
GUACOLDA_1,N2O,0.017
GUACOLDA_2,CO2,1099.946
GUACOLDA_2,CH4,0.012
GUACOLDA_2,N2O,0.017
GUACOLDA_3,CO2,1058.386
GUACOLDA_3,CH4,0.011
GUACOLDA_3,N2O,0.017
GUACOLDA_4,CO2,1063.928
GUACOLDA_4,CH4,0.011
GUACOLDA_4,N2O,0.017
GUACOLDA_5,CO2,1063.928
GUACOLDA_5,CH4,0.011
GUACOLDA_5,N2O,0.017
CAMPICHE,CO2,1052.845
CAMPICHE,CH4,0.011
CAMPICHE,N2O,0.017
NUEVA_VENTANAS,CO2,1052.845
NUEVA_VENTANAS,CH4,0.011
NUEVA_VENTANAS,N2O,0.017
VENTANAS_1,CO2,1149.818
VENTANAS_1,CH4,0.012
VENTANAS_1,N2O,0.018
VENTANAS_2,CO2,1099.946
VENTANAS_2,CH4,0.012
VENTANAS_2,N2O,0.017
SANTA_MARIA,CO2,975.267
SANTA_MARIA,CH4,0.01
SANTA_MARIA,N2O,0.015
BOCAMINA_2,CO2,1046.81
BOCAMINA_2,CH4,0.011
BOCAMINA_2,N2O,0.017
BOCAMINA,CO2,1052.845
BOCAMINA,CH4,0.011
BOCAMINA,N2O,0.017
CTM1_SING,CO2,1406.79
CTM1_SING,CH4,0.015
CTM1_SING,N2O,0.022
CTM2_SING,CO2,1200.88
CTM2_SING,CH4,0.013
CTM2_SING,N2O,0.019
U12_SING,CO2,1331.185
U12_SING,CH4,0.014
U12_SING,N2O,0.021
U13_SING,CO2,1389.04
U13_SING,CH4,0.015
U13_SING,N2O,0.022
U14_SING,CO2,1167.167
U14_SING,CH4,0.012
U14_SING,N2O,0.019
U15_SING,CO2,1183.382
U15_SING,CH4,0.013
U15_SING,N2O,0.019
NTO1_SING,CO2,1158.588
NTO1_SING,CH4,0.012
NTO1_SING,N2O,0.018
NTO2_SING,CO2,1118.031
NTO2_SING,CH4,0.012
NTO2_SING,N2O,0.018
CTTAR_SING,CO2,1164.384
CTTAR_SING,CH4,0.012
CTTAR_SING,N2O,0.018
CTA_SING,CO2,1027.179
CTA_SING,CH4,0.011
CTA_SING,N2O,0.016
