Sector,Energetico,GEI,FE
pesca,nafta,N2O,0.6
pesca,gas_refineria,N2O,0.1
pesca,coque_petroleo,N2O,1.5
pesca,derivados_industria_petroleo,N2O,0.0
pesca,electricidad,N2O,0.0
pesca,carbon,N2O,1.5
pesca,coque_mineral,N2O,1.5
pesca,alquitran,N2O,0.6
pesca,gas_corriente,N2O,0.0
pesca,gas_coque,N2O,0.0
pesca,gas_alto_horno,N2O,0.1
pesca,gas_natural,N2O,0.1
pesca,metano,N2O,0.1
pesca,biogas,N2O,0.1
pesca,biomasa,N2O,0.0
pesca,solar,N2O,0.0
siderurgia,diesel,CO2,74100.0
siderurgia,petroleo_combustible,CO2,74100.0
siderurgia,gasolina,CO2,69300.0
siderurgia,kerenose,CO2,71900.0
siderurgia,gas_licuado,CO2,63100.0
siderurgia,gasolina_aviacion,CO2,70000.0
siderurgia,kerosene_aviacion,CO2,71500.0
siderurgia,nafta,CO2,73300.0
siderurgia,gas_refineria,CO2,57600.0
siderurgia,coque_petroleo,CO2,107000.0
siderurgia,derivados_industria_petroleo,CO2,0.0
siderurgia,electricidad,CO2,0.0
siderurgia,carbon,CO2,94600.0
siderurgia,coque_mineral,CO2,107000.0
siderurgia,alquitran,CO2,80700.0
siderurgia,gas_corriente,CO2,0.0
siderurgia,gas_coque,CO2,0.0
siderurgia,gas_alto_horno,CO2,260000.0
siderurgia,gas_natural,CO2,56100.0
siderurgia,metano,CO2,54600.0
siderurgia,biogas,CO2,54600.0
siderurgia,biomasa,CO2,0.0
siderurgia,solar,CO2,0.0
siderurgia,diesel,CH4,3.0
siderurgia,petroleo_combustible,CH4,3.0
siderurgia,gasolina,CH4,3.0
siderurgia,kerenose,CH4,3.0
siderurgia,gas_licuado,CH4,1.0
siderurgia,gasolina_aviacion,CH4,3.0
siderurgia,kerosene_aviacion,CH4,3.0
siderurgia,nafta,CH4,3.0
siderurgia,gas_refineria,CH4,1.0
siderurgia,coque_petroleo,CH4,1.0
siderurgia,derivados_industria_petroleo,CH4,0.0
siderurgia,electricidad,CH4,0.0
siderurgia,carbon,CH4,1.0
siderurgia,coque_mineral,CH4,1.0
siderurgia,alquitran,CH4,3.0
siderurgia,gas_corriente,CH4,0.0
siderurgia,gas_coque,CH4,0.0
siderurgia,gas_alto_horno,CH4,1.0
siderurgia,gas_natural,CH4,1.0
siderurgia,metano,CH4,1.0
siderurgia,biogas,CH4,1.0
siderurgia,biomasa,CH4,0.0
siderurgia,solar,CH4,0.0
siderurgia,diesel,N2O,0.6
siderurgia,petroleo_combustible,N2O,0.6
siderurgia,gasolina,N2O,0.6
siderurgia,kerenose,N2O,0.6
siderurgia,gas_licuado,N2O,0.1
