Proceso,ID,ID_Sector,ID_Producto,Tipo ,Capacidad_Instalada,Fplanta,Estado,Agno_ini,Agno_fin,Vutil,Zona,ID_Curva,ID_Tecnologia,ID_Ener,ID_Precio_energ,ID_Costo_inversion,ConEsp,Cvar_no,Fcal,Fprecio,ID_Barra,Es_ERNC,ID_Zona_ERNC,Pmin,Regula,ConPropio,Inercia,Reserva_Primaria,Reserva_Secundaria,Impuesto,SPT,ID_Seg_Tran
PAMPA_CAMARONES_FV,451,8,14,1,6.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,20,0.0,1,0.0,0,0,0,0,1,0
URIBE_SOLAR_FV,452,8,14,1,69.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,24,0.0,1,0.275362,0,0,0,0,1,0
CERRO_DOMINADOR_FV,453,8,14,1,100.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,21,0.0,1,0.0,0,0,0,0,1,0
CSOLAR_CERRO_DOMINADOR,454,8,14,1,110.0,0,1,2000,2100,25,1,0,19,23,13,14,0.0,0.0,0.0,1.0,1,1,44,0.0,1,0.0,6,0,0,0,1,0
ANDES_FV,455,8,14,1,21.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,23,0.0,1,0.019608,0,0,0,0,1,0
BOLERO_1_FV,456,8,14,1,146.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,34,0.0,1,0.0,0,0,0,0,1,0
FINIS_TERRAE_FV,457,8,14,1,138.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,21,0.0,1,0.0,0,0,0,0,1,0
HUATACONDO_FV,458,8,14,1,98.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,30,0.0,1,0.0,0,0,0,0,1,0
EL_AGUILA_FV,459,8,14,1,2.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,30,0.0,1,0.009901,0,0,0,0,1,0
LA_HUAYCA_2_FV,460,8,14,1,25.1,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,20,0.0,1,0.0,0,0,0,0,1,0
CALAMA_1_FV,461,8,14,1,9.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,30,0.0,1,0.0,0,0,0,0,1,0
PUERTO_SECO_FV,462,8,14,1,9.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,30,0.0,1,0.0,0,0,0,0,1,0
FINIS_TERRAE_II_FV,463,8,14,1,69.0,0,1,2000,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,21,0.0,1,0.0,0,0,0,0,1,0
GRANJA_FV,464,8,14,1,100.0,0,1,2021,2100,25,1,0,18,23,13,13,0.0,0.0,0.0,1.0,1,1,21,0.0,1,0.0,0,0,0,0,1,0
Carbon_SING,465,8,14,1,0.0,0,0,2020,2040,35,1,0,6,13,23,3,0.4,2.0879,0.007,1.0,1,0,0,0.0,1,0.13,6,0,0,1,1,0
Carbon_II-III,466,8,14,1,0.0,0,0,2020,2040,35,1,0,6,13,23,3,0.4,2.0879,0.007,1.0,2,0,0,0.0,1,0.13,6,0,0,1,1,0
GNL_CC_SING,467,8,14,1,0.0,0,0,2020,2100,30,1,0,16,19,25,7,0.25,3.5282,0.007472800000000001,33.04198,1,0,0,0.0,1,0.05,8,0,0,1,1,0
GNL_CC_II-III,468,8,14,1,0.0,0,0,2020,2100,30,1,0,16,19,25,7,0.25,3.5282,0.007472800000000001,33.04198,2,0,0,0.0,1,0.05,8,0,0,1,1,0
GNL_CC_VIII,469,8,14,1,0.0,0,0,2020,2100,30,1,0,16,19,25,7,0.25,3.5282,0.007472800000000001,33.04198,2,0,0,0.0,1,0.05,8,0,0,1,1,0
GNL_CA_SING,470,8,14,1,0.0,0,0,2020,2100,30,1,0,16,19,25,8,0.25,3.5282,0.007472800000000001,33.04198,1,0,0,0.0,1,0.05,8,0,0,1,1,0
GNL_CA_II-III,471,8,14,1,0.0,0,0,2020,2100,30,1,0,16,19,25,8,0.25,3.5282,0.007472800000000001,33.04198,2,0,0,0.0,1,0.05,8,0,0,1,1,0
GNL_CA_VIII,472,8,14,1,0.0,0,0,2020,2100,30,1,0,16,19,25,8,0.25,3.5282,0.007472800000000001,33.04198,2,0,0,0.0,1,0.05,8,0,0,1,1,0
Diesel_SING,473,8,14,1,0.0,0,0,2020,2100,30,1,0,8,1,24,4,0.25,3.5,0.0109,0.84,1,0,0,0.0,1,0.05,2,0,0,1,1,0
Diesel_IV,474,8,14,1,0.0,0,0,2020,2100,30,1,0,8,1,24,4,0.25,3.5,0.0109,0.84,2,0,0,0.0,1,0.05,2,0,0,1,1,0
Diesel_X-XIV,475,8,14,1,0.0,0,0,2020,2100,30,1,0,8,1,24,4,0.25,3.5,0.0109,0.84,2,0,0,0.0,1,0.05,2,0,0,1,1,0
Biomasa_VII,476,8,14,1,0.0,0,0,2020,2100,25,1,0,2,22,26,2,1.35,3.5,0.00035,1.0,2,1,0,0.0,1,0.05,0,0,0,0,1,0
