Escenario,Agno,Energeticos,Precio
4,2050,generacion_solar_csp,5374.73557534319
5,2015,generacion_solar_csp,7332.0
5,2016,generacion_solar_csp,7332.0
5,2017,generacion_solar_csp,7332.0
5,2018,generacion_solar_csp,7332.0
5,2019,generacion_solar_csp,7332.0
5,2020,generacion_solar_csp,7124.011393508725
5,2021,generacion_solar_csp,6811.734530088047
5,2022,generacion_solar_csp,6510.159031865283
5,2023,generacion_solar_csp,6222.207971705662
5,2024,generacion_solar_csp,5929.923317734277
5,2025,generacion_solar_csp,5665.993405250144
5,2026,generacion_solar_csp,5416.415323318179
5,2027,generacion_solar_csp,5183.873849548792
5,2028,generacion_solar_csp,4967.607073272591
5,2029,generacion_solar_csp,4770.204748115513
5,2030,generacion_solar_csp,4591.004050838576
5,2031,generacion_solar_csp,4644.595573090132
5,2032,generacion_solar_csp,4702.341502552265
5,2033,generacion_solar_csp,4765.772004324603
5,2034,generacion_solar_csp,4834.601720452869
5,2035,generacion_solar_csp,4907.629622458484
5,2036,generacion_solar_csp,4986.5291411679755
5,2037,generacion_solar_csp,5070.748160207638
5,2038,generacion_solar_csp,5159.868220181977
5,2039,generacion_solar_csp,5255.036775794577
5,2040,generacion_solar_csp,5355.8004342327495
5,2041,generacion_solar_csp,5461.851684780877
5,2042,generacion_solar_csp,5574.119151262113
5,2043,generacion_solar_csp,5692.257328219792
5,2044,generacion_solar_csp,5816.79982398762
5,2045,generacion_solar_csp,5947.038144160292
5,2046,generacion_solar_csp,6083.423793198688
5,2047,generacion_solar_csp,6225.898585430241
5,2048,generacion_solar_csp,6374.898608975105
5,2049,generacion_solar_csp,6530.32158240865
5,2050,generacion_solar_csp,6692.247691559427
6,2015,generacion_solar_csp,7332.0
6,2016,generacion_solar_csp,7332.0
6,2017,generacion_solar_csp,7332.0
6,2018,generacion_solar_csp,7332.0
6,2019,generacion_solar_csp,7332.0
6,2020,generacion_solar_csp,7123.937721362544
6,2021,generacion_solar_csp,6810.940010564269
6,2022,generacion_solar_csp,6507.243080118598
6,2023,generacion_solar_csp,6215.018221372424
6,2024,generacion_solar_csp,5917.39701758598
6,2025,generacion_solar_csp,5643.457054564708
6,2026,generacion_solar_csp,5379.597972883236
6,2027,generacion_solar_csp,5127.788586985521
6,2028,generacion_solar_csp,4886.469617503239
6,2029,generacion_solar_csp,4657.539276058794
6,2030,generacion_solar_csp,4439.509694022404
6,2031,generacion_solar_csp,4462.546405684917
6,2032,generacion_solar_csp,4486.554155186273
6,2033,generacion_solar_csp,4513.116427233675
6,2034,generacion_solar_csp,4541.724407407815
6,2035,generacion_solar_csp,4571.170146718945
6,2036,generacion_solar_csp,4603.168999923799
6,2037,generacion_solar_csp,4637.00400263821
6,2038,generacion_solar_csp,4672.036495973242
6,2039,generacion_solar_csp,4709.618668540274
6,2040,generacion_solar_csp,4749.091985194649
6,2041,generacion_solar_csp,4789.878666445422
6,2042,generacion_solar_csp,4833.209761930098
6,2043,generacion_solar_csp,4878.48699974136
6,2044,generacion_solar_csp,4925.66193754767
6,2045,generacion_solar_csp,4974.9288677025
6,2046,generacion_solar_csp,5026.197137314731
6,2047,generacion_solar_csp,5079.016183088434
6,2048,generacion_solar_csp,5134.3638479963965
6,2049,generacion_solar_csp,5191.767858998239
6,2050,generacion_solar_csp,5250.843987892417
7,2015,generacion_solar_csp,7332.0
7,2016,generacion_solar_csp,7332.0
7,2017,generacion_solar_csp,7332.0
7,2018,generacion_solar_csp,7332.0
7,2019,generacion_solar_csp,7332.0
7,2020,generacion_solar_csp,7123.852955942833
7,2021,generacion_solar_csp,6810.025855291328
7,2022,generacion_solar_csp,6503.888055370814
7,2023,generacion_solar_csp,6206.745865588131
7,2024,generacion_solar_csp,5902.9845544704685
7,2025,generacion_solar_csp,5617.527265307963
7,2026,generacion_solar_csp,5337.236804870936
7,2027,generacion_solar_csp,5063.258217407327
7,2028,generacion_solar_csp,4793.114790082686
7,2029,generacion_solar_csp,4527.909062732793
7,2030,generacion_solar_csp,4265.2038891181355
7,2031,generacion_solar_csp,4253.084962211992
7,2032,generacion_solar_csp,4238.274364035858
7,2033,generacion_solar_csp,4222.416927569638
7,2034,generacion_solar_csp,4204.746734698442
7,2035,generacion_solar_csp,4184.047873856915
7,2036,generacion_solar_csp,4162.083936479069
7,2037,generacion_solar_csp,4137.948287979463
7,2038,generacion_solar_csp,4110.748913167632
7,2039,generacion_solar_csp,4082.0735626213545
7,2040,generacion_solar_csp,4051.027669306437
7,2041,generacion_solar_csp,4016.722488905164
7,2042,generacion_solar_csp,3980.7370350063184
7,2043,generacion_solar_csp,3942.182208634441
7,2044,generacion_solar_csp,3900.3398738018523
7,2045,generacion_solar_csp,3856.443047841308
7,2046,generacion_solar_csp,3809.777284503236
7,2047,generacion_solar_csp,3759.440560127752
7,2048,generacion_solar_csp,3707.034047939887
7,2049,generacion_solar_csp,3651.659771343394
7,2050,generacion_solar_csp,3592.3991583959714
8,2015,generacion_solar_csp,7332.0
8,2016,generacion_solar_csp,7332.0
8,2017,generacion_solar_csp,7332.0
8,2018,generacion_solar_csp,7332.0
8,2019,generacion_solar_csp,7332.0
8,2020,generacion_solar_csp,7123.914456063484
8,2021,generacion_solar_csp,6810.689105231823
8,2022,generacion_solar_csp,6506.322236992026
8,2023,generacion_solar_csp,6212.747733809088
8,2024,generacion_solar_csp,5913.441274008928
8,2025,generacion_solar_csp,5636.34018658145
8,2026,generacion_solar_csp,5367.97123587527
8,2027,generacion_solar_csp,5110.077138710661
8,2028,generacion_solar_csp,4860.846810631444
