flujo,agnos,producto,flujo
9           ,2045        ,calor_calder,        0.00
9           ,2046        ,calor_calder,        0.00
9           ,2047        ,calor_calder,        0.00
9           ,2048        ,calor_calder,        0.00
9           ,2049        ,calor_calder,        0.00
9           ,2050        ,calor_calder,        0.00
10          ,2017        ,calor       ,      409.79
10          ,2018        ,calor       ,      409.79
10          ,2019        ,calor       ,      409.79
10          ,2020        ,calor       ,      409.79
10          ,2021        ,calor       ,      409.79
10          ,2022        ,calor       ,      409.79
10          ,2023        ,calor       ,      409.79
10          ,2024        ,calor       ,      409.79
10          ,2025        ,calor       ,      409.79
10          ,2026        ,calor       ,      409.79
10          ,2027        ,calor       ,      409.79
10          ,2028        ,calor       ,      409.79
10          ,2029        ,calor       ,      409.79
10          ,2030        ,calor       ,      409.79
10          ,2031        ,calor       ,      409.79
10          ,2032        ,calor       ,      409.79
10          ,2033        ,calor       ,      409.79
10          ,2034        ,calor       ,      409.79
10          ,2035        ,calor       ,      409.79
10          ,2036        ,calor       ,      409.79
10          ,2037        ,calor       ,      409.79
10          ,2038        ,calor       ,      409.79
10          ,2039        ,calor       ,      409.79
10          ,2040        ,calor       ,      409.79
10          ,2041        ,calor       ,      409.79
10          ,2042        ,calor       ,      256.56
10          ,2043        ,calor       ,      169.68
10          ,2044        ,calor       ,      152.07
10          ,2045        ,calor       ,      138.20
10          ,2046        ,calor       ,      124.34
10          ,2047        ,calor       ,      110.47
10          ,2048        ,calor       ,       96.61
10          ,2049        ,calor       ,       82.74
10          ,2050        ,calor       ,       68.88
11          ,2017        ,carbon      ,      819.58
11          ,2018        ,carbon      ,      819.58
11          ,2019        ,carbon      ,      819.58
11          ,2020        ,carbon      ,      819.58
11          ,2021        ,carbon      ,      819.58
11          ,2022        ,carbon      ,      819.58
11          ,2023        ,carbon      ,      819.58
11          ,2024        ,carbon      ,      819.58
11          ,2025        ,carbon      ,      819.58
11          ,2026        ,carbon      ,      819.58
11          ,2027        ,carbon      ,      819.58
11          ,2028        ,carbon      ,      819.58
11          ,2029        ,carbon      ,      819.58
11          ,2030        ,carbon      ,      819.58
11          ,2031        ,carbon      ,      819.58
11          ,2032        ,carbon      ,      819.58
11          ,2033        ,carbon      ,      819.58
11          ,2034        ,carbon      ,      819.58
11          ,2035        ,carbon      ,      819.58
11          ,2036        ,carbon      ,      819.58
11          ,2037        ,carbon      ,      819.58
11          ,2038        ,carbon      ,      819.58
11          ,2039        ,carbon      ,      819.58
11          ,2040        ,carbon      ,      819.58
11          ,2041        ,carbon      ,      819.58
11          ,2042        ,carbon      ,      513.12
11          ,2043        ,carbon      ,      339.35
11          ,2044        ,carbon      ,      304.13
11          ,2045        ,carbon      ,      276.40
11          ,2046        ,carbon      ,      248.67
11          ,2047        ,carbon      ,      220.94
11          ,2048        ,carbon      ,      193.21
11          ,2049        ,carbon      ,      165.48
11          ,2050        ,carbon      ,      137.75
12          ,2017        ,calor       ,       11.29
12          ,2018        ,calor       ,       11.29
12          ,2019        ,calor       ,       11.29
12          ,2020        ,calor       ,       11.29
12          ,2021        ,calor       ,       11.29
12          ,2022        ,calor       ,       11.29
12          ,2023        ,calor       ,       11.29
12          ,2024        ,calor       ,       11.29
12          ,2025        ,calor       ,       11.29
12          ,2026        ,calor       ,       11.29
12          ,2027        ,calor       ,       11.29
12          ,2028        ,calor       ,       11.29
12          ,2029        ,calor       ,       11.29
12          ,2030        ,calor       ,       11.29
12          ,2031        ,calor       ,       11.29
12          ,2032        ,calor       ,       11.29
12          ,2033        ,calor       ,       11.29
12          ,2034        ,calor       ,       11.29
12          ,2035        ,calor       ,       11.29
12          ,2036        ,calor       ,       11.29
12          ,2037        ,calor       ,       11.29
12          ,2038        ,calor       ,       11.29
12          ,2039        ,calor       ,       11.29
12          ,2040        ,calor       ,       11.29
12          ,2041        ,calor       ,       11.29
12          ,2042        ,calor       ,       11.29
12          ,2043        ,calor       ,       11.29
12          ,2044        ,calor       ,       11.29
12          ,2045        ,calor       ,       11.29
12          ,2046        ,calor       ,       11.29
12          ,2047        ,calor       ,       11.29
12          ,2048        ,calor       ,       11.29
12          ,2049        ,calor       ,       11.29
12          ,2050        ,calor       ,       11.29
13          ,2017        ,gas_natural ,       11.29
13          ,2018        ,gas_natural ,       11.29
13          ,2019        ,gas_natural ,       11.29
13          ,2020        ,gas_natural ,       11.29
13          ,2021        ,gas_natural ,       11.29
13          ,2022        ,gas_natural ,       11.29
13          ,2023        ,gas_natural ,       11.29
13          ,2024        ,gas_natural ,       11.29
13          ,2025        ,gas_natural ,       11.29
13          ,2026        ,gas_natural ,       11.29
13          ,2027        ,gas_natural ,       11.29
13          ,2028        ,gas_natural ,       11.29
13          ,2029        ,gas_natural ,       11.29
13          ,2030        ,gas_natural ,       11.29
13          ,2031        ,gas_natural ,       11.29
13          ,2032        ,gas_natural ,       11.29
13          ,2033        ,gas_natural ,       11.29
13          ,2034        ,gas_natural ,       11.29
13          ,2035        ,gas_natural ,       11.29
13          ,2036        ,gas_natural ,       11.29
13          ,2037        ,gas_natural ,       11.29
13          ,2038        ,gas_natural ,       11.29
13          ,2039        ,gas_natural ,       11.29
13          ,2040        ,gas_natural ,       11.29
13          ,2041        ,gas_natural ,       11.29
13          ,2042        ,gas_natural ,       11.29
13          ,2043        ,gas_natural ,       11.29
13          ,2044        ,gas_natural ,       11.29
13          ,2045        ,gas_natural ,       11.29
13          ,2046        ,gas_natural ,       11.29
13          ,2047        ,gas_natural ,       11.29
13          ,2048        ,gas_natural ,       11.29
13          ,2049        ,gas_natural ,       11.29
13          ,2050        ,gas_natural ,       11.29
14          ,2017        ,calor_calder,        0.00
14          ,2018        ,calor_calder,        0.00
14          ,2019        ,calor_calder,        0.00
14          ,2020        ,calor_calder,        0.00
14          ,2021        ,calor_calder,        0.00
14          ,2022        ,calor_calder,        0.00
14          ,2023        ,calor_calder,        0.00
14          ,2024        ,calor_calder,        0.00
14          ,2025        ,calor_calder,        1.37
14          ,2026        ,calor_calder,        1.37
14          ,2027        ,calor_calder,        1.37
14          ,2028        ,calor_calder,        1.37
14          ,2029        ,calor_calder,        1.37
14          ,2030        ,calor_calder,        1.37
14          ,2031        ,calor_calder,        1.37
14          ,2032        ,calor_calder,        1.37
14          ,2033        ,calor_calder,        1.37
14          ,2034        ,calor_calder,        1.37
14          ,2035        ,calor_calder,        1.37
14          ,2036        ,calor_calder,        1.37
14          ,2037        ,calor_calder,        1.37
14          ,2038        ,calor_calder,        1.37
14          ,2039        ,calor_calder,        1.37
14          ,2040        ,calor_calder,        1.37
14          ,2041        ,calor_calder,        1.37
14          ,2042        ,calor_calder,        1.37
14          ,2043        ,calor_calder,        1.37
14          ,2044        ,calor_calder,        1.37
14          ,2045        ,calor_calder,        1.37
14          ,2046        ,calor_calder,        1.37
14          ,2047        ,calor_calder,        1.37
14          ,2048        ,calor_calder,        1.37
14          ,2049        ,calor_calder,        1.37
14          ,2050        ,calor_calder,        1.37
15          ,2017        ,calor_calder,        1.37
15          ,2018        ,calor_calder,        1.37
15          ,2019        ,calor_calder,        1.37
15          ,2020        ,calor_calder,        1.37
15          ,2021        ,calor_calder,        1.37
15          ,2022        ,calor_calder,        1.37
15          ,2023        ,calor_calder,        1.37
15          ,2024        ,calor_calder,        1.37
15          ,2025        ,calor_calder,        0.00
15          ,2026        ,calor_calder,        0.00
15          ,2027        ,calor_calder,        0.00
15          ,2028        ,calor_calder,        0.00
15          ,2029        ,calor_calder,        0.00
15          ,2030        ,calor_calder,        0.00
15          ,2031        ,calor_calder,        0.00
15          ,2032        ,calor_calder,        0.00
15          ,2033        ,calor_calder,        0.00
15          ,2034        ,calor_calder,        0.00
15          ,2035        ,calor_calder,        0.00
15          ,2036        ,calor_calder,        0.00
15          ,2037        ,calor_calder,        0.00
15          ,2038        ,calor_calder,        0.00
15          ,2039        ,calor_calder,        0.00
15          ,2040        ,calor_calder,        0.00
15          ,2041        ,calor_calder,        0.00
15          ,2042        ,calor_calder,        0.00
15          ,2043        ,calor_calder,        0.00
15          ,2044        ,calor_calder,        0.00
15          ,2045        ,calor_calder,        0.00
15          ,2046        ,calor_calder,        0.00
15          ,2047        ,calor_calder,        0.00
15          ,2048        ,calor_calder,        0.00
15          ,2049        ,calor_calder,        0.00
15          ,2050        ,calor_calder,        0.00
16          ,2017        ,biomasa     ,        1.87
16          ,2018        ,biomasa     ,        1.87
16          ,2019        ,biomasa     ,        1.87
16          ,2020        ,biomasa     ,        1.87
16          ,2021        ,biomasa     ,        1.87
16          ,2022        ,biomasa     ,        1.87
16          ,2023        ,biomasa     ,        1.87
16          ,2024        ,biomasa     ,        1.87
16          ,2025        ,biomasa     ,        1.87
16          ,2026        ,biomasa     ,        1.87
16          ,2027        ,biomasa     ,        1.87
16          ,2028        ,biomasa     ,        1.87
16          ,2029        ,biomasa     ,        1.87
16          ,2030        ,biomasa     ,        1.87
16          ,2031        ,biomasa     ,        1.87
16          ,2032        ,biomasa     ,        1.87
16          ,2033        ,biomasa     ,        1.87
16          ,2034        ,biomasa     ,        1.87
16          ,2035        ,biomasa     ,        1.87
16          ,2036        ,biomasa     ,        1.87
16          ,2037        ,biomasa     ,        1.87
16          ,2038        ,biomasa     ,        1.87
16          ,2039        ,biomasa     ,        1.87
16          ,2040        ,biomasa     ,        1.87
16          ,2041        ,biomasa     ,        1.87
16          ,2042        ,biomasa     ,        1.87
16          ,2043        ,biomasa     ,        1.87
16          ,2044        ,biomasa     ,        1.87
16          ,2045        ,biomasa     ,        1.87
16          ,2046        ,biomasa     ,        1.87
16          ,2047        ,biomasa     ,        1.87
16          ,2048        ,biomasa     ,        1.87
16          ,2049        ,biomasa     ,        1.87
16          ,2050        ,biomasa     ,        1.87
17          ,2017        ,calor_calder,        0.00
17          ,2018        ,calor_calder,        0.00
17          ,2019        ,calor_calder,        0.00
17          ,2020        ,calor_calder,        0.00
17          ,2021        ,calor_calder,        0.00
17          ,2022        ,calor_calder,        0.00
17          ,2023        ,calor_calder,        0.00
17          ,2024        ,calor_calder,        0.00
17          ,2025        ,calor_calder,        1.41
17          ,2026        ,calor_calder,        1.30
17          ,2027        ,calor_calder,        1.09
17          ,2028        ,calor_calder,        0.98
17          ,2029        ,calor_calder,        0.77
17          ,2030        ,calor_calder,        0.66
17          ,2031        ,calor_calder,        0.44
17          ,2032        ,calor_calder,        0.34
17          ,2033        ,calor_calder,        0.12
17          ,2034        ,calor_calder,        0.01
17          ,2035        ,calor_calder,        0.00
17          ,2036        ,calor_calder,        0.00
17          ,2037        ,calor_calder,        0.00
17          ,2038        ,calor_calder,        0.00
17          ,2039        ,calor_calder,        0.00
17          ,2040        ,calor_calder,        0.00
17          ,2041        ,calor_calder,        0.00
17          ,2042        ,calor_calder,        0.00
17          ,2043        ,calor_calder,        0.00
17          ,2044        ,calor_calder,        0.00
17          ,2045        ,calor_calder,        0.00
17          ,2046        ,calor_calder,        0.00
17          ,2047        ,calor_calder,        0.00
17          ,2048        ,calor_calder,        0.00
17          ,2049        ,calor_calder,        0.00
17          ,2050        ,calor_calder,        0.00
18          ,2017        ,calor_calder,        2.68
18          ,2018        ,calor_calder,        2.68
18          ,2019        ,calor_calder,        2.68
18          ,2020        ,calor_calder,        2.68
18          ,2021        ,calor_calder,        2.68
18          ,2022        ,calor_calder,        2.68
18          ,2023        ,calor_calder,        2.68
18          ,2024        ,calor_calder,        2.68
18          ,2025        ,calor_calder,        0.00
18          ,2026        ,calor_calder,        0.00
18          ,2027        ,calor_calder,        0.00
18          ,2028        ,calor_calder,        0.00
18          ,2029        ,calor_calder,        0.00
18          ,2030        ,calor_calder,        0.00
18          ,2031        ,calor_calder,        0.00
18          ,2032        ,calor_calder,        0.00
18          ,2033        ,calor_calder,        0.00
18          ,2034        ,calor_calder,        0.00
18          ,2035        ,calor_calder,        0.00
18          ,2036        ,calor_calder,        0.00
18          ,2037        ,calor_calder,        0.00
18          ,2038        ,calor_calder,        0.00
18          ,2039        ,calor_calder,        0.00
18          ,2040        ,calor_calder,        0.00
18          ,2041        ,calor_calder,        0.00
18          ,2042        ,calor_calder,        0.00
18          ,2043        ,calor_calder,        0.00
18          ,2044        ,calor_calder,        0.00
18          ,2045        ,calor_calder,        0.00
18          ,2046        ,calor_calder,        0.00
18          ,2047        ,calor_calder,        0.00
18          ,2048        ,calor_calder,        0.00
18          ,2049        ,calor_calder,        0.00
18          ,2050        ,calor_calder,        0.00
19          ,2017        ,diesel      ,        3.08
19          ,2018        ,diesel      ,        3.08
19          ,2019        ,diesel      ,        3.08
19          ,2020        ,diesel      ,        3.08
19          ,2021        ,diesel      ,        3.08
19          ,2022        ,diesel      ,        3.08
19          ,2023        ,diesel      ,        3.08
19          ,2024        ,diesel      ,        3.08
19          ,2025        ,diesel      ,        1.62
19          ,2026        ,diesel      ,        1.50
19          ,2027        ,diesel      ,        1.25
19          ,2028        ,diesel      ,        1.13
19          ,2029        ,diesel      ,        0.88
19          ,2030        ,diesel      ,        0.76
19          ,2031        ,diesel      ,        0.51
19          ,2032        ,diesel      ,        0.39
19          ,2033        ,diesel      ,        0.14
19          ,2034        ,diesel      ,        0.02
19          ,2035        ,diesel      ,        0.00
19          ,2036        ,diesel      ,        0.00
19          ,2037        ,diesel      ,        0.00
19          ,2038        ,diesel      ,        0.00
19          ,2039        ,diesel      ,        0.00
19          ,2040        ,diesel      ,        0.00
19          ,2041        ,diesel      ,        0.00
19          ,2042        ,diesel      ,        0.00
19          ,2043        ,diesel      ,        0.00
19          ,2044        ,diesel      ,        0.00
19          ,2045        ,diesel      ,        0.00
19          ,2046        ,diesel      ,        0.00
19          ,2047        ,diesel      ,        0.00
19          ,2048        ,diesel      ,        0.00
19          ,2049        ,diesel      ,        0.00
19          ,2050        ,diesel      ,        0.00
20          ,2017        ,calor_calder,        0.00
20          ,2018        ,calor_calder,        0.00
20          ,2019        ,calor_calder,        0.00
20          ,2020        ,calor_calder,        0.00
20          ,2021        ,calor_calder,        0.00
20          ,2022        ,calor_calder,        0.00
20          ,2023        ,calor_calder,        0.00
20          ,2024        ,calor_calder,        0.00
20          ,2025        ,calor_calder,        0.45
20          ,2026        ,calor_calder,        0.45
20          ,2027        ,calor_calder,        0.45
20          ,2028        ,calor_calder,        0.45
20          ,2029        ,calor_calder,        0.45
20          ,2030        ,calor_calder,        0.45
20          ,2031        ,calor_calder,        0.45
20          ,2032        ,calor_calder,        0.45
20          ,2033        ,calor_calder,        0.45
20          ,2034        ,calor_calder,        0.45
20          ,2035        ,calor_calder,        0.45
20          ,2036        ,calor_calder,        0.45
20          ,2037        ,calor_calder,        0.45
