Escenario,agno,emission,CAPEX,OPEX
16,2041,3.12,1871.88,1013.22
16,2042,3.17,856.91,781.93
16,2043,3.14,920.24,760.98
16,2044,3.2,651.99,711.14
16,2045,3.18,858.85,646.63
16,2046,3.17,523.71,703.3
16,2047,3.25,467.68,671.79
16,2048,3.04,528.83,646.97
16,2049,3.14,308.03,632.76
16,2050,3.21,155.42,635.53
17,2017,34.74,0.0,819.36
17,2018,36.82,0.0,882.93
17,2019,36.31,0.0,848.72
17,2020,39.36,0.0,853.42
17,2021,32.98,0.0,715.3
17,2022,37.14,0.0,838.41
17,2023,37.88,1207.6,1328.64
17,2024,33.5,1424.86,1349.01
17,2025,31.79,1493.7,1408.77
17,2026,29.92,906.34,1228.67
17,2027,28.29,1090.05,1370.12
17,2028,29.1,37.08,1061.78
17,2029,26.04,4577.47,2433.35
17,2030,24.54,2300.32,1554.17
17,2031,21.35,3320.86,1848.31
17,2032,21.62,1393.78,1165.19
17,2033,21.01,1593.62,1229.44
17,2034,20.13,1820.61,1238.99
17,2035,19.37,1928.83,1235.66
17,2036,18.5,1705.06,1250.05
17,2037,17.35,1702.48,1235.36
17,2038,16.21,1478.44,1170.77
17,2039,15.02,1298.34,1141.67
17,2040,7.61,4405.3,1397.67
17,2041,3.28,2076.76,1046.69
17,2042,3.27,960.37,766.73
17,2043,3.35,639.12,805.34
17,2044,3.37,553.03,774.12
17,2045,3.46,627.31,809.07
17,2046,3.56,424.37,805.65
17,2047,3.61,426.69,773.62
17,2048,3.42,408.98,804.11
17,2049,3.52,230.31,790.97
17,2050,3.55,149.45,762.57
18,2017,34.74,0.0,819.37
18,2018,36.82,0.0,882.98
18,2019,36.08,0.0,843.43
18,2020,38.65,0.0,1074.63
18,2021,32.29,0.0,891.78
18,2022,35.35,384.39,1128.57
18,2023,34.66,2353.03,1750.23
18,2024,30.7,1413.52,1354.97
18,2025,29.62,1371.88,1367.43
18,2026,28.71,578.03,1146.83
18,2027,27.8,759.53,1272.28
18,2028,28.5,77.24,1122.1
18,2029,25.89,4208.71,2244.71
18,2030,24.42,2177.84,1568.2
18,2031,21.39,3420.96,1851.99
18,2032,21.38,1361.36,1214.69
18,2033,20.82,1535.8,1289.02
18,2034,20.07,1643.03,1335.35
