GEI,agno,offset
offset_calif_viv_existente    ,2037        ,        0.00
offset_calif_viv_existente    ,2038        ,        0.00
offset_calif_viv_existente    ,2039        ,        0.00
offset_calif_viv_existente    ,2040        ,        0.00
offset_calif_viv_existente    ,2041        ,        0.00
offset_calif_viv_existente    ,2042        ,        0.00
offset_calif_viv_existente    ,2043        ,        0.00
offset_calif_viv_existente    ,2044        ,        0.00
offset_calif_viv_existente    ,2045        ,        0.00
offset_calif_viv_existente    ,2046        ,        0.00
offset_calif_viv_existente    ,2047        ,        0.00
offset_calif_viv_existente    ,2048        ,        0.00
offset_calif_viv_existente    ,2049        ,        0.00
offset_calif_viv_existente    ,2050        ,        0.00
offset_calif_viv_nueva        ,2017        ,        0.00
offset_calif_viv_nueva        ,2018        ,        0.00
offset_calif_viv_nueva        ,2019        ,        0.00
offset_calif_viv_nueva        ,2020        ,        0.00
offset_calif_viv_nueva        ,2021        ,        0.00
offset_calif_viv_nueva        ,2022        ,        0.00
offset_calif_viv_nueva        ,2023        ,        0.00
offset_calif_viv_nueva        ,2024        ,        0.00
offset_calif_viv_nueva        ,2025        ,        0.00
offset_calif_viv_nueva        ,2026        ,        0.00
offset_calif_viv_nueva        ,2027        ,        0.00
offset_calif_viv_nueva        ,2028        ,        0.00
offset_calif_viv_nueva        ,2029        ,        0.00
offset_calif_viv_nueva        ,2030        ,        0.00
offset_calif_viv_nueva        ,2031        ,        0.00
offset_calif_viv_nueva        ,2032        ,        0.00
offset_calif_viv_nueva        ,2033        ,        0.00
offset_calif_viv_nueva        ,2034        ,        0.00
offset_calif_viv_nueva        ,2035        ,        0.00
offset_calif_viv_nueva        ,2036        ,        0.00
offset_calif_viv_nueva        ,2037        ,        0.00
offset_calif_viv_nueva        ,2038        ,        0.00
offset_calif_viv_nueva        ,2039        ,        0.00
offset_calif_viv_nueva        ,2040        ,        0.00
offset_calif_viv_nueva        ,2041        ,        0.00
offset_calif_viv_nueva        ,2042        ,        0.00
offset_calif_viv_nueva        ,2043        ,        0.00
offset_calif_viv_nueva        ,2044        ,        0.00
offset_calif_viv_nueva        ,2045        ,        0.00
offset_calif_viv_nueva        ,2046        ,        0.00
offset_calif_viv_nueva        ,2047        ,        0.00
offset_calif_viv_nueva        ,2048        ,        0.00
offset_calif_viv_nueva        ,2049        ,        0.00
offset_calif_viv_nueva        ,2050        ,        0.00
offset_recambio_aireadores    ,2017        ,        0.00
offset_recambio_aireadores    ,2018        ,        0.00
offset_recambio_aireadores    ,2019        ,        0.00
offset_recambio_aireadores    ,2020        ,        0.00
offset_recambio_aireadores    ,2021        ,        0.00
offset_recambio_aireadores    ,2022        ,        0.00
offset_recambio_aireadores    ,2023        ,        0.00
offset_recambio_aireadores    ,2024        ,        0.00
offset_recambio_aireadores    ,2025        ,        0.00
offset_recambio_aireadores    ,2026        ,        0.00
offset_recambio_aireadores    ,2027        ,        0.00
offset_recambio_aireadores    ,2028        ,        0.00
offset_recambio_aireadores    ,2029        ,        0.00
offset_recambio_aireadores    ,2030        ,        0.00
offset_recambio_aireadores    ,2031        ,        0.00
offset_recambio_aireadores    ,2032        ,        0.00
offset_recambio_aireadores    ,2033        ,        0.00
offset_recambio_aireadores    ,2034        ,        0.00
offset_recambio_aireadores    ,2035        ,        0.00
offset_recambio_aireadores    ,2036        ,        0.00
offset_recambio_aireadores    ,2037        ,        0.00
offset_recambio_aireadores    ,2038        ,        0.00
offset_recambio_aireadores    ,2039        ,        0.00
offset_recambio_aireadores    ,2040        ,        0.00
offset_recambio_aireadores    ,2041        ,        0.00
offset_recambio_aireadores    ,2042        ,        0.00
offset_recambio_aireadores    ,2043        ,        0.00
offset_recambio_aireadores    ,2044        ,        0.00
offset_recambio_aireadores    ,2045        ,        0.00
offset_recambio_aireadores    ,2046        ,        0.00
offset_recambio_aireadores    ,2047        ,        0.00
offset_recambio_aireadores    ,2048        ,        0.00
offset_recambio_aireadores    ,2049        ,        0.00
offset_recambio_aireadores    ,2050        ,        0.00
offset_solar_termico_residenci,2017        ,        0.00
offset_solar_termico_residenci,2018        ,        0.00
offset_solar_termico_residenci,2019        ,        0.00
offset_solar_termico_residenci,2020        ,        0.00
offset_solar_termico_residenci,2021        ,        0.00
offset_solar_termico_residenci,2022        ,        0.00
offset_solar_termico_residenci,2023        ,        0.00
offset_solar_termico_residenci,2024        ,        0.00
offset_solar_termico_residenci,2025        ,        0.00
offset_solar_termico_residenci,2026        ,        0.00
offset_solar_termico_residenci,2027        ,        0.00
offset_solar_termico_residenci,2028        ,        0.00
offset_solar_termico_residenci,2029        ,        0.00
offset_solar_termico_residenci,2030        ,        0.00
offset_solar_termico_residenci,2031        ,        0.00
offset_solar_termico_residenci,2032        ,        0.00
offset_solar_termico_residenci,2033        ,        0.00
offset_solar_termico_residenci,2034        ,        0.00
offset_solar_termico_residenci,2035        ,        0.00
offset_solar_termico_residenci,2036        ,        0.00
offset_solar_termico_residenci,2037        ,        0.00
offset_solar_termico_residenci,2038        ,        0.00
offset_solar_termico_residenci,2039        ,        0.00
offset_solar_termico_residenci,2040        ,        0.00
offset_solar_termico_residenci,2041        ,        0.00
offset_solar_termico_residenci,2042        ,        0.00
offset_solar_termico_residenci,2043        ,        0.00
offset_solar_termico_residenci,2044        ,        0.00
offset_solar_termico_residenci,2045        ,        0.00
offset_solar_termico_residenci,2046        ,        0.00
offset_solar_termico_residenci,2047        ,        0.00
offset_solar_termico_residenci,2048        ,        0.00
offset_solar_termico_residenci,2049        ,        0.00
offset_solar_termico_residenci,2050        ,        0.00
offset_mejora_alimen_bovinos  ,2017        ,        0.00
offset_mejora_alimen_bovinos  ,2018        ,        0.00
offset_mejora_alimen_bovinos  ,2019        ,        0.00
offset_mejora_alimen_bovinos  ,2020        ,        0.00
offset_mejora_alimen_bovinos  ,2021        ,        0.00
offset_mejora_alimen_bovinos  ,2022        ,        0.00
offset_mejora_alimen_bovinos  ,2023        ,        0.00
offset_mejora_alimen_bovinos  ,2024        ,        0.00
offset_mejora_alimen_bovinos  ,2025        ,        0.00
offset_mejora_alimen_bovinos  ,2026        ,        0.00
offset_mejora_alimen_bovinos  ,2027        ,        0.00
offset_mejora_alimen_bovinos  ,2028        ,        0.00
offset_mejora_alimen_bovinos  ,2029        ,        0.00
offset_mejora_alimen_bovinos  ,2030        ,        0.00
