central,agno,generacion
LA_MINA                                 ,2043        ,   178661.46
LA_MINA                                 ,2044        ,   179030.45
LA_MINA                                 ,2045        ,   178661.46
LA_MINA                                 ,2046        ,   178661.46
LA_MINA                                 ,2047        ,   178661.46
LA_MINA                                 ,2048        ,   179030.45
LA_MINA                                 ,2049        ,   178661.46
LA_MINA                                 ,2050        ,   178661.46
CIPRESES                                ,2017        ,   131162.54
CIPRESES                                ,2018        ,   131162.54
CIPRESES                                ,2019        ,   288904.39
CIPRESES                                ,2020        ,   289688.11
CIPRESES                                ,2021        ,   288904.39
CIPRESES                                ,2022        ,   288904.39
CIPRESES                                ,2023        ,   288904.39
CIPRESES                                ,2024        ,   289688.11
CIPRESES                                ,2025        ,   288904.39
CIPRESES                                ,2026        ,   288904.39
CIPRESES                                ,2027        ,   288904.39
CIPRESES                                ,2028        ,   289688.11
CIPRESES                                ,2029        ,   288904.39
CIPRESES                                ,2030        ,   288904.39
CIPRESES                                ,2031        ,   288904.39
CIPRESES                                ,2032        ,   289688.11
CIPRESES                                ,2033        ,   288904.39
CIPRESES                                ,2034        ,   288904.39
CIPRESES                                ,2035        ,   288904.39
CIPRESES                                ,2036        ,   289688.11
CIPRESES                                ,2037        ,   288904.39
CIPRESES                                ,2038        ,   288904.39
CIPRESES                                ,2039        ,   288904.39
CIPRESES                                ,2040        ,   289688.11
CIPRESES                                ,2041        ,   288904.39
CIPRESES                                ,2042        ,   288904.39
CIPRESES                                ,2043        ,   288904.39
CIPRESES                                ,2044        ,   287858.21
CIPRESES                                ,2045        ,   280069.27
CIPRESES                                ,2046        ,   280069.27
CIPRESES                                ,2047        ,   280069.27
CIPRESES                                ,2048        ,   280852.99
CIPRESES                                ,2049        ,   280069.27
CIPRESES                                ,2050        ,   280069.27
OJOSDEAGUA                              ,2017        ,    58578.83
OJOSDEAGUA                              ,2018        ,    58578.83
OJOSDEAGUA                              ,2019        ,    63369.42
OJOSDEAGUA                              ,2020        ,    63523.01
OJOSDEAGUA                              ,2021        ,    63369.42
OJOSDEAGUA                              ,2022        ,    63369.42
OJOSDEAGUA                              ,2023        ,    63369.42
OJOSDEAGUA                              ,2024        ,    63523.01
OJOSDEAGUA                              ,2025        ,    63369.42
OJOSDEAGUA                              ,2026        ,    63369.42
OJOSDEAGUA                              ,2027        ,    63369.42
OJOSDEAGUA                              ,2028        ,    63523.01
OJOSDEAGUA                              ,2029        ,    63369.42
OJOSDEAGUA                              ,2030        ,    63369.42
OJOSDEAGUA                              ,2031        ,    63369.42
OJOSDEAGUA                              ,2032        ,    63523.01
OJOSDEAGUA                              ,2033        ,    63369.42
OJOSDEAGUA                              ,2034        ,    63369.42
OJOSDEAGUA                              ,2035        ,    63369.42
OJOSDEAGUA                              ,2036        ,    63523.01
OJOSDEAGUA                              ,2037        ,    63369.42
OJOSDEAGUA                              ,2038        ,    63369.42
OJOSDEAGUA                              ,2039        ,    63369.42
OJOSDEAGUA                              ,2040        ,    63523.01
OJOSDEAGUA                              ,2041        ,    63369.42
OJOSDEAGUA                              ,2042        ,    63369.42
OJOSDEAGUA                              ,2043        ,    63369.42
OJOSDEAGUA                              ,2044        ,    63523.01
OJOSDEAGUA                              ,2045        ,    63369.42
OJOSDEAGUA                              ,2046        ,    63369.42
OJOSDEAGUA                              ,2047        ,    63369.42
OJOSDEAGUA                              ,2048        ,    63523.01
OJOSDEAGUA                              ,2049        ,    63369.42
OJOSDEAGUA                              ,2050        ,    63369.42
ISLA                                    ,2017        ,   285537.81
ISLA                                    ,2018        ,   285537.81
ISLA                                    ,2019        ,   424237.56
ISLA                                    ,2020        ,   425243.09
ISLA                                    ,2021        ,   424237.56
ISLA                                    ,2022        ,   424237.56
ISLA                                    ,2023        ,   424237.56
ISLA                                    ,2024        ,   425243.09
ISLA                                    ,2025        ,   424237.56
ISLA                                    ,2026        ,   424237.56
ISLA                                    ,2027        ,   424237.56
ISLA                                    ,2028        ,   425243.09
ISLA                                    ,2029        ,   424237.56
ISLA                                    ,2030        ,   424237.56
ISLA                                    ,2031        ,   424237.56
ISLA                                    ,2032        ,   425243.09
ISLA                                    ,2033        ,   424237.56
ISLA                                    ,2034        ,   424237.56
ISLA                                    ,2035        ,   424237.56
ISLA                                    ,2036        ,   425243.09
ISLA                                    ,2037        ,   424237.56
ISLA                                    ,2038        ,   424237.56
ISLA                                    ,2039        ,   424237.56
ISLA                                    ,2040        ,   425243.09
ISLA                                    ,2041        ,   424237.56
ISLA                                    ,2042        ,   424237.56
ISLA                                    ,2043        ,   424237.56
ISLA                                    ,2044        ,   425243.09
ISLA                                    ,2045        ,   424237.56
ISLA                                    ,2046        ,   424237.56
ISLA                                    ,2047        ,   424237.56
ISLA                                    ,2048        ,   425243.09
ISLA                                    ,2049        ,   424237.56
ISLA                                    ,2050        ,   424237.56
CURILLINQUE                             ,2017        ,   355950.70
CURILLINQUE                             ,2018        ,   355950.70
CURILLINQUE                             ,2019        ,   516902.82
CURILLINQUE                             ,2020        ,   518155.62
CURILLINQUE                             ,2021        ,   516902.82
CURILLINQUE                             ,2022        ,   516902.82
CURILLINQUE                             ,2023        ,   516902.82
CURILLINQUE                             ,2024        ,   518155.62
CURILLINQUE                             ,2025        ,   516902.82
CURILLINQUE                             ,2026        ,   516902.82
CURILLINQUE                             ,2027        ,   516902.82
CURILLINQUE                             ,2028        ,   518155.62
CURILLINQUE                             ,2029        ,   516902.82
CURILLINQUE                             ,2030        ,   516902.82
CURILLINQUE                             ,2031        ,   516902.82
CURILLINQUE                             ,2032        ,   518155.62
CURILLINQUE                             ,2033        ,   516902.82
CURILLINQUE                             ,2034        ,   516902.82
CURILLINQUE                             ,2035        ,   516902.82
CURILLINQUE                             ,2036        ,   518155.62
CURILLINQUE                             ,2037        ,   516902.82
CURILLINQUE                             ,2038        ,   516902.82
CURILLINQUE                             ,2039        ,   516902.82
CURILLINQUE                             ,2040        ,   518155.62
CURILLINQUE                             ,2041        ,   516902.82
CURILLINQUE                             ,2042        ,   516902.82
CURILLINQUE                             ,2043        ,   516902.82
