barra,agno,etapa,bloque,potencia,energia
SING        ,2019        ,9           ,2           ,     2046.79,   184211.37
SING        ,2019        ,9           ,3           ,     2004.09,   601226.21
SING        ,2019        ,9           ,4           ,     1950.43,   117025.91
SING        ,2019        ,9           ,5           ,     1981.63,   118897.99
SING        ,2019        ,10          ,1           ,     2025.22,   439472.81
SING        ,2019        ,10          ,2           ,     2051.99,   190834.93
SING        ,2019        ,10          ,3           ,     1999.21,   619754.63
SING        ,2019        ,10          ,4           ,     2045.85,   126842.95
SING        ,2019        ,10          ,5           ,     2064.94,   128026.22
SING        ,2019        ,11          ,1           ,     2091.01,   439112.36
SING        ,2019        ,11          ,2           ,     2026.85,   182416.11
SING        ,2019        ,11          ,3           ,     2035.15,   610544.84
SING        ,2019        ,11          ,4           ,     2128.40,   127704.10
SING        ,2019        ,11          ,5           ,     2146.63,   128797.66
SING        ,2019        ,12          ,1           ,     2105.56,   456905.66
SING        ,2019        ,12          ,2           ,     2110.70,   196294.83
SING        ,2019        ,12          ,3           ,     2019.27,   625972.91
SING        ,2019        ,12          ,4           ,     2051.24,   127176.97
SING        ,2019        ,12          ,5           ,     2070.60,   128376.90
SING        ,2020        ,1           ,1           ,     2014.65,   437179.70
SING        ,2020        ,1           ,2           ,     1998.70,   185878.65
SING        ,2020        ,1           ,3           ,     1955.78,   606290.50
SING        ,2020        ,1           ,4           ,     2010.51,   124651.38
SING        ,2020        ,1           ,5           ,     2086.29,   129350.23
SING        ,2020        ,2           ,1           ,     1873.09,   380237.25
SING        ,2020        ,2           ,2           ,     1845.20,   160532.22
SING        ,2020        ,2           ,3           ,     1821.30,   528177.91
SING        ,2020        ,2           ,4           ,     1911.73,   110880.12
SING        ,2020        ,2           ,5           ,     1927.51,   111795.71
SING        ,2020        ,3           ,1           ,     1952.21,   423629.00
SING        ,2020        ,3           ,2           ,     1948.14,   181177.42
SING        ,2020        ,3           ,3           ,     1911.93,   592696.79
SING        ,2020        ,3           ,4           ,     1931.10,   119728.45
SING        ,2020        ,3           ,5           ,     1986.94,   123190.13
SING        ,2020        ,4           ,1           ,     2139.98,   449396.72
SING        ,2020        ,4           ,2           ,     2045.14,   184062.70
SING        ,2020        ,4           ,3           ,     2052.87,   615859.69
SING        ,2020        ,4           ,4           ,     2038.03,   122281.54
SING        ,2020        ,4           ,5           ,     2088.03,   125281.70
SING        ,2020        ,5           ,1           ,     2148.09,   468282.81
SING        ,2020        ,5           ,2           ,     2170.35,   201842.10
SING        ,2020        ,5           ,3           ,     2090.82,   648153.41
SING        ,2020        ,5           ,4           ,     2067.60,   128191.39
SING        ,2020        ,5           ,5           ,     2148.03,   133177.86
SING        ,2020        ,6           ,1           ,     2141.30,   449673.61
SING        ,2020        ,6           ,2           ,     2155.48,   193993.60
SING        ,2020        ,6           ,3           ,     2101.65,   630494.25
SING        ,2020        ,6           ,4           ,     2058.88,   123533.05
SING        ,2020        ,6           ,5           ,     2099.78,   125986.86
SING        ,2020        ,7           ,1           ,     2102.33,   456204.91
