agno,producto,demanda
2029        ,coccion_gas_,        0.00
2030        ,coccion_gas_,        0.00
2031        ,coccion_gas_,        0.00
2032        ,coccion_gas_,        0.00
2033        ,coccion_gas_,        0.00
2034        ,coccion_gas_,        0.00
2035        ,coccion_gas_,        0.00
2036        ,coccion_gas_,        0.00
2037        ,coccion_gas_,        0.00
2038        ,coccion_gas_,        0.00
2039        ,coccion_gas_,        0.00
2040        ,coccion_gas_,        0.00
2041        ,coccion_gas_,        0.00
2042        ,coccion_gas_,        0.00
2043        ,coccion_gas_,        0.00
2044        ,coccion_gas_,        0.00
2045        ,coccion_gas_,        0.00
2046        ,coccion_gas_,        0.00
2047        ,coccion_gas_,        0.00
2048        ,coccion_gas_,        0.00
2049        ,coccion_gas_,        0.00
2050        ,coccion_gas_,        0.00
2017        ,coccion_biom,        0.00
2018        ,coccion_biom,        0.00
2019        ,coccion_biom,        0.00
2020        ,coccion_biom,        0.00
2021        ,coccion_biom,        0.00
2022        ,coccion_biom,        0.00
2023        ,coccion_biom,        0.00
2024        ,coccion_biom,        0.00
2025        ,coccion_biom,        0.00
2026        ,coccion_biom,        0.00
2027        ,coccion_biom,        0.00
2028        ,coccion_biom,        0.00
2029        ,coccion_biom,        0.00
2030        ,coccion_biom,        0.00
2031        ,coccion_biom,        0.00
2032        ,coccion_biom,        0.00
2033        ,coccion_biom,        0.00
2034        ,coccion_biom,        0.00
2035        ,coccion_biom,        0.00
2036        ,coccion_biom,        0.00
2037        ,coccion_biom,        0.00
2038        ,coccion_biom,        0.00
2039        ,coccion_biom,        0.00
2040        ,coccion_biom,        0.00
2041        ,coccion_biom,        0.00
2042        ,coccion_biom,        0.00
2043        ,coccion_biom,        0.00
2044        ,coccion_biom,        0.00
2045        ,coccion_biom,        0.00
2046        ,coccion_biom,        0.00
2047        ,coccion_biom,        0.00
2048        ,coccion_biom,        0.00
2049        ,coccion_biom,        0.00
2050        ,coccion_biom,        0.00
2017        ,refrigeracio,        0.00
2018        ,refrigeracio,        0.00
2019        ,refrigeracio,        0.00
2020        ,refrigeracio,        0.00
2021        ,refrigeracio,        0.00
2022        ,refrigeracio,        0.00
2023        ,refrigeracio,        0.00
2024        ,refrigeracio,        0.00
2025        ,refrigeracio,        0.00
2026        ,refrigeracio,        0.00
2027        ,refrigeracio,        0.00
2028        ,refrigeracio,        0.00
2029        ,refrigeracio,        0.00
2030        ,refrigeracio,        0.00
2031        ,refrigeracio,        0.00
2032        ,refrigeracio,        0.00
2033        ,refrigeracio,        0.00
2034        ,refrigeracio,        0.00
2035        ,refrigeracio,        0.00
2036        ,refrigeracio,        0.00
2037        ,refrigeracio,        0.00
2038        ,refrigeracio,        0.00
2039        ,refrigeracio,        0.00
2040        ,refrigeracio,        0.00
2041        ,refrigeracio,        0.00
2042        ,refrigeracio,        0.00
2043        ,refrigeracio,        0.00
2044        ,refrigeracio,        0.00
2045        ,refrigeracio,        0.00
2046        ,refrigeracio,        0.00
2047        ,refrigeracio,        0.00
2048        ,refrigeracio,        0.00
2049        ,refrigeracio,        0.00
2050        ,refrigeracio,        0.00
2017        ,iluminacion_,        0.00
2018        ,iluminacion_,        0.00
2019        ,iluminacion_,        0.00
2020        ,iluminacion_,        0.00
2021        ,iluminacion_,        0.00
2022        ,iluminacion_,        0.00
2023        ,iluminacion_,        0.00
2024        ,iluminacion_,        0.00
2025        ,iluminacion_,        0.00
2026        ,iluminacion_,        0.00
2027        ,iluminacion_,        0.00
2028        ,iluminacion_,        0.00
2029        ,iluminacion_,        0.00
2030        ,iluminacion_,        0.00
2031        ,iluminacion_,        0.00
2032        ,iluminacion_,        0.00
2033        ,iluminacion_,        0.00
2034        ,iluminacion_,        0.00
2035        ,iluminacion_,        0.00
2036        ,iluminacion_,        0.00
2037        ,iluminacion_,        0.00
2038        ,iluminacion_,        0.00
2039        ,iluminacion_,        0.00
2040        ,iluminacion_,        0.00
2041        ,iluminacion_,        0.00
2042        ,iluminacion_,        0.00
2043        ,iluminacion_,        0.00
2044        ,iluminacion_,        0.00
2045        ,iluminacion_,        0.00
2046        ,iluminacion_,        0.00
2047        ,iluminacion_,        0.00
2048        ,iluminacion_,        0.00
